BM_MILLENIUM;A New Millenium;;;;;;;;;;;;;x
BM_MILLENIUM_DESC;Christmas Day, 1000 AD.  A period of religious upheaval, as pagan rulers adopt Christianity while struggling to control their subjects, many of whom refuse to abandon the old ways.  Istvan I, the King of Hungary has been crowned by the Pope and adopted Catholicism, but his people still worship the Sky Father of their steppe heritage.  In Scandinavia, Christian kings must balance their new faith with the Norse paganism of the masses.  Even Kuchug, Khan of the vast Pecheneg horde, has converted to Orthodox Christianity.  Meanwhile, the Muslim caliphs of Egypt and Spain have concentrated their holdings, but the Umayyad Caliph of Cordoba is threatened by his advisor Al-Mansur, who seeks the thrown for himself and his sons.;;;;;;;;;;;;;x
nick_the_black;the Black;;;;;;;;;;;;;x
d_galloway_welsh;Strathclyde;;;;;;;;;;;;;x
d_galloway_adj_welsh;Strathclyde;;;;;;;;;;;;;x
k_ghaznavids;Ghaznavids;;;;;;;;;;;;;x
k_ghaznavids_adj;Ghaznavid;;;;;;;;;;;;;x
k_umayyad;Córdoba;;;;;;;;;;;;;x
k_umayyad_adj;Córdoban;;;;;;;;;;;;;x
k_fatimid;Cairo;;;;;;;;;;;;;x
k_fatimid_adj;Egyptian;;;;;;;;;;;;;x
EVTDESCMIL1;The forces you ordered to assemble are now ready to invade the Kingdom of England. We shall teach the Anglo-Saxons a lesson they will not forget!;;;;;;;;;;;;;x
EVTOPTAMIL1;To the longships!;;;;;;;;;;;;;x
EVTOPTBMIL1;Erm…I've changed my mind;;;;;;;;;;;;;x
invade_england_sveinn;Prepare the Invasion to England;;;;;;;;;;;;;x
invade_england_sveinn_desc;The danegeld tribute we receive from the Anglo-Saxons is not enough and the English massacres of poor Danish settlers can no longer be tolerated. We have to restore the order in England and reclaim the Danelaw for our growing empire.;;;;;;;;;;;;;x
king_serbian;Tsar;;;;;;;;;;;;;x
king_female_serbian;Tsaritsa;;;;;;;;;;;;;x
king_bulgarian;Tsar;;;;;;;;;;;;;x
king_female_bulgarian;Tsaritsa;;;;;;;;;;;;;x
nick_the_bulgar_slayer;the Bulgar-Slayer;;;;;;;;;;;;;x
nick_the_ill_advised;the Ill-Advised;;;;;;;;;;;;;x
EVTDESC90009007;The Bulgarian state has finally perished by your hands and their 'empire' has collapsed into ruins. The conflict that has lasted decades is over and we can rejoice that our northern borders are safe once more and our control of the Balkans is undisputed. For this achievement you are going to be known for at least another millennium.;;;;;;;;;;;;;x
EVTOPTA90009007;Call me the Bulgar-Slayer!;;;;;;;;;;;;;x
