#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
serbian_building_1;Small Husar Cavalry Bands;Petit haras de cavalerie hussarde;Kleiner Husarenübungsplatz;;x;;;;;;;;;
serbian_building_2;Small Husar Cavalry Grounds;Petite écurie de cavalerie hussarde;Kleiner Husarenreitgrund;;x;;;;;;;;;
serbian_building_3;Organized Husar Cavalry Grounds;Ecurie de cavalerie hussarde;Organisierter Husarenreitgrund;;x;;;;;;;;;
serbian_building_4;Massed Husar Training Grounds;Grande écurie de cavalerie hussarde;Großer Husarenübungsplatz;;x;;;;;;;;;
serbian_building_5;Royal Husar Training Grounds;Grande écurie de cavalerie hussarde;Großer Husarenübungsplatz;;x;;;;;;;;;
north_german_building_1;Small Húskarlar Training Ground;Petit terrain d'entrainement Húskarlar;Kleine Húskarlar Barracke;;x;;;;;;;;;
north_german_building_2;Medium Húskarlar Training Ground;Terrain d'entrainement Húskarlar intermédiaire;Mittlere Húskarlar Barracke;;x;;;;;;;;;
north_german_building_3;Large Húskarlar Training Ground;Grand terrain d'entrainement Húskarlar Training Ground;Große Húskarlar Barracke;;x;;;;;;;;;
north_german_building_4;Great Húskarlar Training Ground;Grand terrain d'entrainement Húskarlar Training Ground;Große Húskarlar Barracke;;x;;;;;;;;;
north_german_building_5;Royal Húskarlar Training Ground;Terrain d'entrainement Húskarlar royal;Königliche Húskarlar Barracke;;x;;;;;;;;;
irish_building_1;Ceithern Recruitment Center;Centre de Recrutement de Ceithern;Ceithern Anwerbungs-Center;;x;;;;;;;;;
irish_building_2;Large Ceithern Recruitment Center;Support Gallóglaigh;Gallóglaigh Unterstützung;;x;;;;;;;;;
irish_building_3;Gallóglaigh Support;Support Gallóglaigh;Gallóglaigh Unterstützung;;x;;;;;;;;;
irish_building_4;Heavy Gallóglaigh Training;Entrainement lourd Gallóglaigh ;Schwere Gallóglaigh Übungsbarracke;;x;;;;;;;;;
irish_building_5;Royal Gallóglaigh Barracks;Caserne Royale Gallóglaigh ;Königliche Gallóglaigh Baracke;;x;;;;;;;;;
ca_culture_saxon_english_1; Small Longbow Range;Archerie d’arc long;Langbogen-Schießplatz;;Arquería de arco largox;;;;;;;;;
ca_culture_saxon_english_2;Longbow Range;Archerie d’arc long;Langbogen-Schießplatz;;Arquería de arco largox;;;;;;;;;
ca_culture_saxon_english_3;Expanded Longbow Range;Grande archerie d’arc long;Erweiterter Langbogen-Schießplatz;;Arquería de arco largo ampliadax;;;;;;;;;
ca_culture_saxon_english_4;Large Longbow Range;Arbalétrerie;Großer Langbogen-Schießplatz;;Arquería de arco largo grandex;;;;;;;;;
ca_culture_saxon_english_5;Great Large Longbow Range;Arbalétrerie;Großer Langbogen-Schießplatz;;Arquería de arco largo grandex;;;;;;;;;
ca_culture_scottish_1;Small Schiltron Training Ground;Terrain de piquiers;Kleiner Schiltron-Übungsplatz;;Zona de entrenamiento de falanges pequeñax;;;;;;;;;
ca_culture_scottish_2;Schiltron Training Ground;Quartier des lanciers;Mittlerer Schiltron-Übungsplatz;;Zona de entrenamiento de falanges medianax;;;;;;;;;
ca_culture_scottish_3;Medium Schiltron Training Ground;Quartier des schiltrons;Großer Schiltron-Übungsplatz;;Zona de entrenamiento de falanges grandex;;;;;;;;;
ca_culture_scottish_4;Large Schiltron Training Ground;Quartier des Hallebardiers;Riesiger Schiltron-Übungsplatz;;Zona de entrenamiento de falanges muy grandex;;;;;;;;;
ca_culture_scottish_5;Great Schiltron Training Ground;Quartier des Hallebardiers;Riesiger Schiltron-Übungsplatz;;Zona de entrenamiento de falanges muy grandex;;;;;;;;;
ca_culture_group_baltic_1;Small Warrior Gathering Ground;Lieu de réunion de guerriers;Kleiner Krieger-Sammelplatz;;Zona de reunión de guerreros pequeñax;;;;;;;;;
ca_culture_group_baltic_2;Warrior Gathering Ground;Lieu de rassemblement de guerriers;Krieger-Sammelplatz;;Zona de reunión de guerrerosx;;;;;;;;;
ca_culture_group_baltic_3;Medium Warrior Gathering Ground;Assemblée de guerriers;Mittlerer Krieger-Sammelplatz;;Zona de reunión de guerreros medianax;;;;;;;;;
ca_culture_group_baltic_4;Large Warrior Gathering Ground;Grande assemblée de guerriers;Großer Krieger-Sammelplatz;;Zona de reunión de guerreros grandex;;;;;;;;;
ca_culture_group_baltic_5;Great Warrior Gathering Ground;Grande assemblée de guerriers;Großer Krieger-Sammelplatz;;Zona de reunión de guerreros grandex;;;;;;;;;
ca_culture_group_altaic_1;Small Riding Grounds;Petit camp équestre;Kleines Reitgelände;;Zona de equitación pequeñax;;;;;;;;;
ca_culture_group_altaic_2;Riding Grounds;Camp équestre;Mittleres Reitgelände;;Zona de equitación medianax;;;;;;;;;
ca_culture_group_altaic_3;Medium Riding Grounds;Grand camp équestre;Großes Reitgelände;;Zona de equitación grandex;;;;;;;;;
ca_culture_group_altaic_4;Large Riding Grounds;Grande chevauchée;Riesiges Reitgelände;;Zona de equitación muy grandex;;;;;;;;;
ca_culture_group_altaic_5;Great Riding Grounds;Grande chevauchée;Riesiges Reitgelände;;Zona de equitación muy grandex;;;;;;;;;
ca_culture_frank_norman_german_1;Squire Lists;Lices des écuyers;Knappenlisten;;Listas de escuderosx;;;;;;;;;
ca_culture_frank_norman_german_2;Knight Lists;Lice des cavaliers;Ritterlisten;;Listas de caballerosx;;;;;;;;;
ca_culture_frank_norman_german_3;Chevalier Lists;Lice des chevaliers;Chevalier-Listen;;Listas de caballerosx;;;;;;;;;
ca_culture_frank_norman_german_4;Jousting Lists;Lice de joutes;Turnierlisten;;Listas de justasx;;;;;;;;;
ca_culture_frank_norman_german_5;Large Jousting Lists;Lice de joutes;Turnierlisten;;Listas de justasx;;;;;;;;;
ca_culture_group_arabic_1;Small Bedouin Cavalry Riding Ground;Petite piste d'entraînement pour chameaux;Kleines Kamel-Reitgelände;;Pequeño campo de monta de camellosx;;;;;;;;;
ca_culture_group_arabic_2;Bedouin Cavalry Riding Ground;Piste d'entraînement pour chameaux;Kamel-Reitgelände;;Campo de monta de camellosx;;;;;;;;;
ca_culture_group_arabic_3;Medium Bedouin Cavalry Riding Ground;Grande piste d'entraînement pour chameaux;Großes Kamel-Reitgelände;;Gran campo de monta de camellosx;;;;;;;;;
ca_culture_group_arabic_4;Large Bedouin Cavalry Riding Ground;Très grande piste d'entraînement pour chameaux;Sehr großes Kamel-Reitgelände;;Enorme campo de monta de camellosx;;;;;;;;;
ca_culture_group_arabic_5;Great Bedouin Cavalry Riding Ground;Très grande piste d'entraînement pour chameaux;Sehr großes Kamel-Reitgelände;;Enorme campo de monta de camellosx;;;;;;;;;
ca_culture_group_iberian_1;Small Caballero Training Ground;Enclos des cabelleros;Kleiner Cabarello-Übungsplatz;;Zona de entrenamiento de caballeros pequeñax;;;;;;;;;
ca_culture_group_iberian_2;Caballero Training Ground;Grand enclos des cabelleros;Cabarello-Übungsplatz;;Zona de entrenamiento de caballerosx;;;;;;;;;
ca_culture_group_iberian_3;Medium Caballero Training Ground;Lice des cabelleros;Großer Cabarello-Übungsplatz;;Zona de entrenamiento de caballeros grandex;;;;;;;;;
