#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
abolish_witan_hardrada;Declare yourself the sole King of England;Declare yourself the sole King of England;Declare yourself the sole King of England;;Declare yourself the sole King of England;;;;;;;;;x;;
abolish_witan_hardrada_desc;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;;;;;;;;x;;
abolish_witan_william;Declare yourself the sole King of England;Declare yourself the sole King of England;Declare yourself the sole King of England;;Declare yourself the sole King of England;;;;;;;;;x;;
abolish_witan_william_desc;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;;;;;;;;x;;
austro_hungarian_empire;Austrian Empire;Empire Austro-Hongrois;Österreichisch-Ungarisches Kaiserreich;;Imperio Austro-Húngaro;;;;;;;;;x;;
austro_hungarian_empire_desc;This decision will give you the Austrian title.;Cette décision vous donnera le titre austro-hongrois.;Diese Entscheidung gibt Ihnen der Österreichisch-Ungarisches Kaiserreichstitel.;;Esta decisión le dará el título Austro-Húngaro.;;;;;;;;;x;;
become_braedralag;Found the Bræðralag;Found the Bræðralag;Found the Bræðralag;;Found the Bræðralag;;;;;;;;;;;
borrowed_from_ansar;Owes 300¤ to the Ansar Order;Doit 300¤ à la Confrérie des Bektachis;Schuldet dem Orden der Bektaschi 300¤;;Debe 300¤ a los Ansar;;;;;;;;;x;;
borrow_money_ansar;Borrow 300¤ from the Ansar;Emprunter 300¤ aux Bektachis;Leihen Sie sich 300¤ von den Bektaschi;;Pedir 300¤ prestados a los Ansar;;;;;;;;;x;;
borrow_money_ansar_desc;I can borrow money from the Ansar and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;Je peux emprunter de l'argent aux Bektachis et rembourser la même somme quand bon me semble. Cependant, tant que cette dette existe, le Grand Maître peut formuler diverses requêtes, par exemple demander qu'un de mes fils rejoigne leurs rangs.;Ich kann mir von den Bektaschi Geld leihen und den Betrag zu beliebiger Zeit zurückzahlen. Jedoch kann der Großmeister, während ich in ihrer Schuld stehe, an mich verschiedene Forderungen stellen, z.B. dass einer meiner Söhne dem Orden beitritt.;;Puedo pedir un préstamo a los Ansar y devolverles la misma suma en cualquier momento. Sin embargo, mientras esté en deuda con ellos, el Gran Maestre podrá hacer distintas peticiones, como que uno de mis hijos se una a sus filas.;;;;;;;;;x;;
bring_children_to_court;Summon Children to Court;Présenter les enfants à la cour;Kinder vor Gericht beordern.;;Summon Children to Court;;;;;;;;;x;;
