#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182000.a;Accept;Accepter;Akzeptiert;;Accept;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182000.b;Refuse;Refuser;Abgelehnt;;Refuse;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182000.desc;A papal bull has arrived demanding the return of Holy Rome to the Papacy.;Une bulle papale est arrivée, elle demande le retour de la Sainte Rome à la Papauté.;Eine päpstliche Bulle ist angekommen, die die Rückgabe des Heiligen Roms zum Papsttum fordert.;;A papal bull has arrived demanding the return of Holy Rome to the Papacy.;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182002.a;I wonder what he'll say.;Je me demande ce qu'il va dire.;I wonder what he'll say.;;I wonder what he'll say.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182002.desc;My mother is asking my father to legitimize me.;Ma mère demande à mon père de me légitimer.;My mother is asking my father to legitimize me.;;My mother is asking my father to legitimize me.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182003.a;Rebuff the absurd request!;Rejeter cette requeste absurde !;Rebuff the absurd request!;;Rebuff the absurd request!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182003.b;Grant the request and enable him to inherit.;Accorder la requeste et lui permettre d'hériter.;Grant the request and enable him to inherit.;;Grant the request and enable him to inherit.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182003.desc;The mother of my bastard is asking me to legitimize him.;La mère de mon bastard me demande de le légitimer.;The mother of my bastard is asking me to legitimize him.;;The mother of my bastard is asking me to legitimize him.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182004.a;Well, there are other ways...;Fi ! Il y a d'aultres moyens...;Well, there are other ways...;;Well, there are other ways...;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182004.b;Maybe he'll change his mind if I work harder.;Peult-estre qu'il changera d'avis si je travaille plus dur.;Maybe he'll change his mind if I work harder.;;Maybe he'll change his mind if I work harder.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182004.c;It's okay, I didn't want to inherit anyway.;Ce n'est point grave, je ne voulois point hériter de toute façon.;It's okay, I didn't want to inherit anyway.;;It's okay, I didn't want to inherit anyway.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182004.desc;My father refused to legitimize me.;Mon père a refusé de me légitimer.;My father refused to legitimize me.;;My father refused to legitimize me.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182005.a;My mother will like that.;Ma mère va apprécier.;My mother will like that.;;My mother will like that.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182005.desc;My father decided to legitimize me!;Mon père a décidé de me légitimer !;My father decided to legitimize me!;;My father decided to legitimize me!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182006.a;What a jerk!;Quel faquin !;What a jerk!;;What a jerk!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182006.desc;The father has refused to legitimize your son.;Le père de votre fils a refusé de le légitimer.;The father has refused to legitmize your son.;;The father has refused to legitmize your son.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182007.a;He loves me!;Il m'aime !;He loves me!;;He loves me!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182007.desc;The father of your son, [From.GetFirstName], has decided to legitimize him.;Le père de votre fils, [From.GetFirstName], a décidé de le légitimer.;The father of your son, [From.GetFirstName], has decided to legitimize him.;;The father of your son, [From.GetFirstName], has decided to legitimize him.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,
1000182008.a;OK;OK;OK;;OK;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182008.desc;With your death, you can no longer have a favored son;Avec votre trépas, vous ne pouvez plus avoir de fils préféré;With your death, you can no longer have a favored son;;With your death, you can no longer have a favored son;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182009.a;Great!;Super !;Great!;;Great!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182009.desc;One of the provinces in your realm has finally seen the light, with the majority of its inhabitants at last accepting your culture.  This should make your realm easier to manage and better unify your people.;Une des provinces de votre royaume s'est enfin rendue à la raison, alors que la majorité de ses habitants ont finalement adopté votre culture. Cela devroit rendre votre royaume plus facile à diriger et unifier davantage votre peuple.;One of the provinces in your realm has finally seen the light, with the majority of its inhabitants at last accepting your culture.  This should make your realm easier to manage and better unify your people.;;One of the provinces in your realm has finally seen the light, with the majority of its inhabitants at last accepting your culture.  This should make your realm easier to manage and better unify your people.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182010.a;I shall inform the other conspirators at once!;Je m'en vais de ce pas en informer sur-le-champ les aultres conjurés !;I shall inform the other conspirators at once!;;I shall inform the other conspirators at once!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182010.desc;A certain notable lord doesn't do a great job of securing his papers and seal.  With a little planning, we could sneak into his office and create all sorts of evidence of wrongdoing.;Un éminent seigneur ne fait guère attention à la susreté de ses documents et de son sceau. Avec un peu de préparation, nous pourrions pénétrer furtivement dans son bureau et créer toutes sortes de preuves de méfaits.;A certain notable lord doesn't do a great job of securing his papers and seal.  With a little planning, we could sneak into his office and create all sorts of evidence of wrongdoing.;;A certain notable lord doesn't do a great job of securing his papers and seal.  With a little planning, we could sneak into his office and create all sorts of evidence of wrongdoing.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182011.a;No risk, no reward;On ne gagne rien sans risque;No risk, no reward;;No risk, no reward;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182011.b;That's too risky...;C'est trop risqué...;That's too risky...;;That's too risky...;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182011.desc;[From.GetFirstName] has written me, alerting me to an opportunity to attempt to frame [Root.PlotTarget.GetTitledFirstName] for betraying his allies.  If we're successful then [Root.PlotTarget.GetTitledFirstName]'s allies will turn against him, thinking he tried to betray them;[From.GetFirstName] m'a écrit, me prévenant d'une opportunité de monter un coup contre [Root.PlotTarget.GetTitledFirstName] et faire croire qu'il a trahi ses alliés. Si nous réussissons, les alliés de [Root.PlotTarget.GetTitledFirstName] se retourneront contre lui, pensant qu'il a tenté de les trahir;[From.GetFirstName] has written me, alerting me to an opportunity to attempt to frame [Root.PlotTarget.GetTitledFirstName] for betraying his allies.  If we're successful then [Root.PlotTarget.GetTitledFirstName]'s allies will turn against him, thinking he tried to betray them;;[From.GetFirstName] has written me, alerting me to an opportunity to attempt to frame [Root.PlotTarget.GetTitledFirstName] for betraying his allies.  If we're successful then [Root.PlotTarget.GetTitledFirstName]'s allies will turn against him, thinking he tried to betray them;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
1000182012.a;Curses!;Mortecouille !;Curses!;;Curses!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182012.desc;That lying scum, [From.GetTitledFirstName], has somehow fabricated outlandish evidence of a supposed plot against our allies and has implicated us as its ringleader.  Regrettably it seems our allies trust this villain over us, and may no longer stand beside us;Cette fourbe racaille, [From.GetTitledFirstName], a d'une manière ou d'une aultre fabriqué de fausses preuves d'un supposé complot contre nos alliés et nous a présenté comme son meneur. tristeusement, il semble que nos alliés donnent foi à ce scélérat plutost qu'à nous, et pourroient ne plus estre à nos costés;That lying scum, [From.GetTitledFirstName], has somehow fabricated outlandish evidence of a supposed plot against our allies and has implicated us as its ringleader.  Regrettably it seems our allies trust this villain over us, and may no longer stand beside us;;That lying scum, [From.GetTitledFirstName], has somehow fabricated outlandish evidence of a supposed plot against our allies and has implicated us as its ringleader.  Regrettably it seems our allies trust this villain over us, and may no longer stand beside us;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
1000182013.a;Luckily nothing forged has turned up.;Heureusement, nul faulx n'est apparu.;Luckily nothing forged has turned up.;;Luckily nothing forged has turned up.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182013.desc;It appears that my seal and some paperwork has gone missing from my office.  I'll have to get some new locks and get a new seal.  My spymaster has investigated the matter, but hasn't been able to find the culprit.;Il semble que mon sceau et quelques documents ont disparu de mon bureau. Je vais devoir changer de serrures et me procurer un nouveau sceau. Mon maistre-espion a enquesté sur cette affaire, mais n'a point réussi à trouver le coupable.;It appears that my seal and some paperwork has gone missing from my office.  I'll have to get some new locks and get a new seal.  My spymaster has investigated the matter, but hasn't been able to find the culprit.;;It appears that my seal and some paperwork has gone missing from my office.  I'll have to get some new locks and get a new seal.  My spymaster has investigated the matter, but hasn't been able to find the culprit.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182014.a;I shall have my revenge;J'auroi ma vengeance;I shall have my revenge;;I shall have my revenge;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182014.desc;That lying scum, [From.GetTitledFirstName], has fabricated outlandish evidence of a supposed plot against our allies and tried to implicate us as its ringleader.  Fortunately, his evidence is laughable and none of our allies believe him;Cette fourbe racaille, [From.GetTitledFirstName], a d'une manière ou d'une aultre fabriqué de fausses preuves d'un supposé complot contre nos alliés et nous a présenté comme son meneur. Fort heureusement, ses preuves sont risibles et nul de nos alliés ne le croit;That lying scum, [From.GetTitledFirstName], has fabricated outlandish evidence of a supposed plot against our allies and tried to implicate us as its ringleader.  Fortunately, his evidence is laughable and none of our allies believe him;;That lying scum, [From.GetTitledFirstName], has fabricated outlandish evidence of a supposed plot against our allies and tried to implicate us as its ringleader.  Fortunately, his evidence is laughable and none of our allies believe him;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
1000182015.a;Excellent;Excellent;Excellent;;Excellent;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
