#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,,,,,,
EVTDESC_FemRule_100;Since I still don't have a male heir, I may need to consider the possibility of my realm passing to my daughter. Rulership is harder for a woman, but not impossible. If I were to start raising her as my heir now, she would be better prepared should she succeed me to the throne...;Comme je n'ai toujours point d'héritier masculin, je pourrois envisager que ma fille hérite de mon royaume. Il est plus difficile pour une femme de régner, mais ce n'est point impossible. Si je commençois à l'élever comme mon héritière dès à présent, elle seroit mieulx préparée si elle devoit un jour me succéder au trosne...;Since I still don't have a male heir, I may need to consider the possibility of my realm passing to my daughter. Rulership is harder for a woman, but not impossible. If I were to start raising her as my heir now, she would be better prepared should she succeed me to the throne...;;Since I still don't have a male heir, I may need to consider the possibility of my realm passing to my daughter. Rulership is harder for a woman, but not impossible. If I were to start raising her as my heir now, she would be better prepared should she succeed me to the throne...;;;;;x;;;;
EVTDESC_FemRule_101;I am told my [From.GetFatherMother] does not wish me to be [From.GetHerHim] heir, and will put me aside as soon as [From.GetSheHe] has a son. It doesn't seem fair!; I am told my [From.GetFatherMother] does not wish me to be [From.GetHerHim] heir, and will put me aside as soon as [From.GetSheHe] has a son. It doesn't seem fair!; I am told my [From.GetFatherMother] does not wish me to be [From.GetHerHim] heir, and will put me aside as soon as [From.GetSheHe] has a son. It doesn't seem fair!;; I am told my [From.GetFatherMother] does not wish me to be [From.GetHerHim] heir, and will put me aside as soon as [From.GetSheHe] has a son. It doesn't seem fair!;;;;;;;;;x,,,,,,,,
EVTDESC_FemRule_105;My daughter is no longer under my tutelage to become the next ruler. What now?;My daughter is no longer under my tutelage to become the next ruler. What now?;My daughter is no longer under my tutelage to become the next ruler. What now?;;My daughter is no longer under my tutelage to become the next ruler. What now?;;;;;;;;;x,,,,,,,,,,,,
EVTDESC_FemRule_110;The hour is late. If I do nothing, my titles will pass out of my family's hands forever. I could summarily change the laws to permit my daughter to inherit, but doing so may turn my vassals against both me and her.;The hour is late. If I do nothing, my titles will pass out of my family's hands forever. I could summarily change the laws to permit my daughter to inherit, but doing so may turn my vassals against both me and her.;The hour is late. If I do nothing, my titles will pass out of my family's hands forever. I could summarily change the laws to permit my daughter to inherit, but doing so may turn my vassals against both me and her.;;The hour is late. If I do nothing, my titles will pass out of my family's hands forever. I could summarily change the laws to permit my daughter to inherit, but doing so may turn my vassals against both me and her.;;;;;;;;;x,,,,
EVTNAME_FemRule_100;My Daughter is my Heir;Ma Fille est mon Héritier;Meine Tochter ist mein Erbe;;Mi Hija es mi Heredero;;;;;x;;;;,,,,,,,,,,,,
EVTOPTA_FemRule_100;I will raise a ruler to be proud of!;J'élèveroi un dirigeant qui fera ma fierté !;I will raise a ruler to be proud of!;;I will raise a ruler to be proud of!;;;;;;x;;;,,,,,,,,,,,,
EVTOPTA_FemRule_101;I must earn my right to rule.;I must earn my right to rule.;I must earn my right to rule.;;I must earn my right to rule;;;;;;;;;x,,,,,,,,,,,,
EVTOPTA_FemRule_105;I have a son now. That's all that matters.;I have a son now. That's all that matters.;I have a son now. That's all that matters.;;I have a son now. That's all that matters.;;;;;;;;;x,,,,,,,,,,,,
EVTOPTA_FemRule_110;The laws must be changed in order to preserve my dynasty.;Je souhaite que mes filles héritent de [Root.PrimaryTitle.GetFullName].;I wish my daughters to inherit the [Root.PrimaryTitle.GetFullName].;;I wish my daughters to inherit the [Root.PrimaryTitle.GetFullName].;;;;x;;;;;,,,,,,,,,,,,
EVTOPTB_FemRule_100;I might still have a son.;Je puis toujours avoir un fils.;I can still have a son.;;I can still have a son.;;;;;x;;;;,,,,,,,,,,,,
EVTOPTB_FemRule_101;But I deserve to rule!;But I deserve to rule!;But I deserve to rule!;;But I deserve to rule!;;;;;;;;;x,,,,,,,,,,,,
EVTOPTB_FemRule_105;I have another daughter who can take her place.;I have another daughter who can take her place.;I have another daughter who can take her place.;;I have another daughter who can take her place.;;;;;;;;;x,,,,,,,,,,,,
EVTOPTB_FemRule_110;One of my bastard sons will need to inherit in her stead.;One of my bastard sons will need to inherit in her stead.;One of my bastard sons will need to inherit in her stead.;;One of my bastard sons will need to inherit in her stead.;;;;;;;;;x,,,,,,,,,,,,
EVTOPTC_FemRule_100;This will never happen. Stop asking me about it.;Ne me montrez plus cet événement.;Do not show this event again.;;Do not show this event again.;;;;x;;;;;,,,,,,,,,,,,
EVTOPTC_FemRule_101;I must bow to [From.GetHerHis] wishes.;I must bow to [From.GetHerHis] wishes.;I must bow to [From.GetHerHis] wishes.;;I must bow to [From.GetHerHis] wishes.;;;;;;;;;x,,,,,,,,,,,,
EVTOPTC_FemRule_105;There is nothing to be done.;There is nothing to be done.;There is nothing to be done.;;There is nothing to be done.;;;;;;;;;x,,,,,,,,,,,,
EVTOPTC_FemRule_110;[Root.Religion.GetRandomGodNameCap]'s will be done.;La volonté de [Root.Religion.GetRandomGodNameCap] sera faite !;[Root.Religion.GetRandomGodNameCap]'s will be done.;;[Root.Religion.GetRandomGodNameCap]'s will be done.;;;;;x;;;;,,,,,,,,,,,,
