#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTC_REP_61;A glorious future awaits!;;;;;;;;;;;;;x;
NEVERMIND;On second thought...;;;;;;;;;;;;;x;
EVTDESC1900500;It has been some time since the members of my faction last met, and letters have arrived requesting that I assemble the faction in [Root.Capital.GetName]. I can postpone it for a time, but if I wait too long my position of leadership will be in jeopardy.;;;;;;;;;;;;;x;
EVTOPTA1900500;Send out the invitations!;;;;;;;;;;;;;x;
EVTOPTB1900500;It can wait a little longer;;;;;;;;;;;;;x;
EVTDESC1900501;After I yet again failed to assemble the faction for a meeting, the other members have decided that I am unfit for leadership and have chosen a new leader.;;;;;;;;;;;;;x;
EVTOPTA1900501;Curses!;;;;;;;;;;;;;x;
EVTDESC1900502;An invitation has arrived from [From.GetBestName] calling all members of my faction to assemble at [From.Capital.Name] to discuss common interests and concerns.;;;;;;;;;;;;;x;
EVTOPTA1900502;I will attend, of course;;;;;;;;;;;;;x;
EVTDESC1900503;One by one, arriving in order of rank and prestige, the Lords of the faction assemble at my residence in [Root.Capital.GetName]. As leader of the faction, it is up to me to address them and determine the agenda of this particular meeting.;;;;;;;;;;;;;x;
EVTOPTA1900503;I will strengthen my position within the faction;;;;;;;;;;;;;x;
EVTOPTB1900503;I plan to rally support for [Root.Liege.GetTitledFirstName];;;;;;;;;;;;;x;
EVTOPTC1900503;I will stir up discontent towards [Root.Liege.GetTitledFirstName];;;;;;;;;;;;;x;
EVTOPTD1900503;I intend to pass the time with matters of procedure;;;;;;;;;;;;;x;
EVTDESC1900504;One by one, arriving in order of rank and prestige, the Lords of the faction assemble at my residence in [Root.Capital.GetName]. Immediately, it is clear what is on everyone's minds: Their common enmity towards [Root.Liege.GetTitledFirstName]. As leader of the faction, it is up to me to take charge of the situation and propose a solution to the issues raised.;;;;;;;;;;;;;x;
EVTOPTA1900504;We must overthrow [Root.Liege.GetTitledFirstName]!;;;;;;;;;;;;;x;
