#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
faction_court_bonus_1;Court Faction Support;Appui de la Faction Courtisane;Hofsplittergruppe Unterstützung;;Court Faction Support;;;;;;;x;;;;
faction_court_bonus_2;Court Faction Support;Appui de la Faction Courtisane;Hofsplittergruppe Unterstützung;;Court Faction Support;;;;;;;x;;;;
faction_court_bonus_3;Court Faction Support;Appui de la Faction Courtisane;Hofsplittergruppe Unterstützung;;Court Faction Support;;;;;;;x;;;;
faction_court_bonus_4;Court Faction Support;Appui de la Faction Courtisane;Hofsplittergruppe Unterstützung;;Court Faction Support;;;;;;;x;;;;
faction_court_bonus_5;Court Faction Support;Appui de la Faction Courtisane;Hofsplittergruppe Unterstützung;;Court Faction Support;;;;;;;x;;;;
faction_court_duke_desc;The §YCourt Faction§! strives for offices and honors at court.\n\nTheir mood is §Yimproved§! by:\n- §GGood relations with leader§!\n- §GGood relations with members§!\n- §GCouncil positions held by members§!\n- §GLifetime Appointment Law§!\n- §GHunts and Feasts§!\n\nTheir mood is §Yworsened§! by:\n- §RBad relations with leader§!\n- §RBad relations with members§!\n- §RCouncil positions held by non-members§!\n\nIf angered, they are likely to back a claimant to the throne.;Les membres de la §YFaction Courtisane Ducale§! essayent d'obtenir des titres et des honneurs à la cour. Leur humeur est §Yaméliorée§! par:\n- §GDe bonnes relations avec le leader§!\n- §GDe bonnes relations avec les autres membres§!\n- §GLes postes du Conseil tenues par des membres§!\n- §GLes chasses et les banquets§!\n\nLeur humeur est §Yaltérée§! par:\n- §RDe mauvaises relations avec le leader§!\n- §RDe mauvaises relations avec les autres membres§!\n- §RLes postes du Conseil tenues par des non-membres§!\n\nS'ils sont irrités, ils sont susceptibles de soutenir un prétendant au trône.;Die Hof-splittergruppe kämpft um Büros und besondere Auszeichnungen am Hofe.;;The §YCourt Faction§! strives for offices and honors at court.\n\nTheir mood is §Yimproved§! by:\n- §GGood relations with leader§!\n- §GGood relations with members§!\n- §GCouncil positions held by members§!\n- §GLifetime Appointment Law§!\n- §GHunts and Feasts§!\n\nTheir mood is §Yworsened§! by:\n- §RBad relations with leader§!\n- §RBad relations with members§!\n- §RCouncil positions held by non-members§!\n\nIf angered, they are likely to back a claimant to the throne.;;;;;;;;;x;;
faction_court_duke_short;Court;Cour;Hof;;Court;;;;;;;;;x;;
faction_court_duke_title;Court Faction;Faction Courtisane Ducale;Hof-splittergruppe;;Court Faction;;;;;;;;;x;;
faction_court_emperor_desc;The §YCourt Faction§! strives for offices and honors at court.\n\nTheir mood is §Yimproved§! by:\n- §GGood relations with leader§!\n- §GGood relations with members§!\n- §GCouncil positions held by members§!\n- §GLifetime Appointment Law§!\n- §GHunts and Feasts§!\n\nTheir mood is §Yworsened§! by:\n- §RBad relations with leader§!\n- §RBad relations with members§!\n- §RCouncil positions held by non-members§!\n\nIf angered, they are likely to back a claimant to the throne.;Les membres de la §YFaction Courtisane Impériale§! essayent d'obtenir des titres et des honneurs à la cour. Leur humeur est §Yaméliorée§! par:\n- §GDe bonnes relations avec le leader§!\n- §GDe bonnes relations avec les autres membres§!\n- §GLes postes du Conseil tenues par des membres§!\n- §GLes chasses et les banquets§!\n\nLeur humeur est §Yaltérée§! par:\n- §RDe mauvaises relations avec le leader§!\n- §RDe mauvaises relations avec les autres membres§!\n- §RLes postes du Conseil tenues par des non-membres§!\n\nS'ils sont irrités, ils sont susceptibles de soutenir un prétendant au trône.;Die Hof-splittergruppe kämpft um Büros und besondere Auszeichnungen am Hofe.;;The §YCourt Faction§! strives for offices and honors at court.\n\nTheir mood is §Yimproved§! by:\n- §GGood relations with leader§!\n- §GGood relations with members§!\n- §GCouncil positions held by members§!\n- §GLifetime Appointment Law§!\n- §GHunts and Feasts§!\n\nTheir mood is §Yworsened§! by:\n- §RBad relations with leader§!\n- §RBad relations with members§!\n- §RCouncil positions held by non-members§!\n\nIf angered, they are likely to back a claimant to the throne.;;;;;;;;;x;;
faction_court_emperor_short;Court;Cour;Hof;;Court;;;;;;;;;x;;
