#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ARCHDUCHESS;Archduchess;Archiduchesse;Erzherzogin;;Archiduquesa;;;;;;;;;x
ARCHDUKE;Archduke;Archiduc;Erzherzog;;Archiduque;;;;;;;;;x
ARCHDUKE_OF;Archduchy of;Archiduché de;Erzherzogtum;;Archduchy de;;;;;;;;;x
ARCH_DRUID;Arch Druid;Arch Druid;Arch Druid;;Arch Druid;;;;;;;;;x
ARCH_DRUIDESSE;Arch Druidesse;Arch Druidesse;Arch Druidesse;;Arch Druidesse;;;;;;;;;x
ARCH_DRUID_FOA;Eldest of the Druids;Eldest of the Druids;Eldest of the Druids;;Eldest of the Druids;;;;;;;;;x
city_emperor_foa;Your Eminence;Votre Eminence;Euer Gnaden;;;;;;;;;;;x
GRANDDUCHESS;Grand Duchess;Grande-Duchesse;Großherzogin;;Gran Duquesa;;;;;;;;;x
GRANDDUKE;Grand Duke;Grand-Duc;Großherzog;;Gran Duque;;;;;;;;;x
GRANDDUKE_FOA_TUSCANY;Your Serene Highness;Votre Altesse Sérénissime;Ihre Durchlaucht;;Su Alteza Serenísima;;;;;;;;;x
GRANDDUKE_OF;Grand Duchy of;Grand-Duché de;Großherzogtum;;Gran Ducado de;;;;;;;;;x
HEADGUARD;Head Guard;Head Guard;Head Guard;;Head Guard;;;;;;;;;x
HEADGUARD_FOA;The mighty;The mighty;The mighty;;The mighty;;;;;;;;;x
HEAD_CHIEF;Paramount Chief;Primordiale Chef;Oberhäuptling;;Jefe Supremo;;;;;;;;;x
HEAD_CHIEF_FOA;Päällikkö;Päällikkö;Päällikkö;;Päällikkö;;;;;;;;;x
HIGH_KING;Ard Ri;Ard Ri;Ard Ri;;Ard Ri;;;;;;;;;
HIGH_KING_FOA;Great Lord;Grand Seigneur;Großer Herr;;Gran Señor;;;;;;;;;x
HIGH_QUEEN;Ard Banrion;Ard Banrion;Ard Banrion;;Ard Banrion;;;;;;;;;x
LEADER;Leader;Leader;Anführer;;Leader;;;;;;;;;x
LEADER_FOA;Commander;Commandant;Kommandant;;Commander;;;;;;;;;x
MASHIAH_FOA;Anointed One;Le Messie;Gesalbte;;Anointed One;;;;;;;x;;
