#CODE;ENGLISH;GERMAN;FRENCH;;SPANISH;;;;;;;;;x
title_aedile;Aedile;Édile;Ädil;;Edil;;;;;;;;;;;
title_aedile_desc;The aediles are responsible for maintenance of public buildings and regulation of public festivals.;The aediles are responsible for maintenance of public buildings and regulation of public festivals.;The aediles are responsible for maintenance of public buildings and regulation of public festivals.;;The aediles are responsible for maintenance of public buildings and regulation of public festivals.;;;;;;;;;;;
title_ashavan;Ashavan;Ashavan;Ashavan;;Ashavan;;;;;;;;;x;;
title_ashavan_desc;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;;;;;;;;;x;;
title_astrologer;Court Astrologer;Court Astrologer;Court Astrologer;;Court Astrologer;;;;;;;;;x;;
title_astrologer_desc;The reader of stars. He advises the ruler with decisions.;The reader of stars, helps to make tough decision;The reader of stars, helps to make tough decision;;The reader of stars, helps to make tough decision;;;;;;;;;x;;
title_censor;Censor;Censeur;Censur;;Censor;;;;;;;;;;;
title_censor_desc;The Censor is responsible for taking the census of the realm. While the office was originally instituted for taxation purposes the most important duty of the Censor is to supervise public morality and recommend suitable candidates for public offices.;The Censor is responsible for taking the census of the realm. While the office was originally instituded for taxation purposes the most important duty of the Censor is to supervise public morality and recommend suitable candidates for public offices.;The Censor is responsible for taking the census of the realm. While the office was originally instituded for taxation purposes the most important duty of the Censor is to supervise public morality and recommend suitable candidates for public offices.;;The Censor is responsible for taking the census of the realm. While the office was originally instituded for taxation purposes the most important duty of the Censor is to supervise public morality and recommend suitable candidates for public offices.;;;;;;;;;;;
title_court_bard;Bard;Bard;Bard;;Bard;;;;;;;;;x;;
title_court_bard_desc;Bards were those who sang the songs recalling the tribal warriors' deeds of bravery as well as the genealogies and family histories of the ruling strata among Celtic societies. The Celtic peoples maintain an intricate oral history committed to memory and transmitted by bards. Bards facilitated the memorization of such materials by the use of metre, rhyme and other formulaic poetic devices.;Bards were those who sang the songs recalling the tribal warriors' deeds of bravery as well as the genealogies and family histories of the ruling strata among Celtic societies. The Celtic peoples maintain an intricate oral history committed to memory and transmitted by bards. Bards facilitated the memorization of such materials by the use of metre, rhyme and other formulaic poetic devices.;Bards were those who sang the songs recalling the tribal warriors' deeds of bravery as well as the genealogies and family histories of the ruling strata among Celtic societies. The Celtic peoples maintain an intricate oral history committed to memory and transmitted by bards. Bards facilitated the memorization of such materials by the use of metre, rhyme and other formulaic poetic devices.;;Bards were those who sang the songs recalling the tribal warriors' deeds of bravery as well as the genealogies and family histories of the ruling strata among Celtic societies. The Celtic peoples maintain an intricate oral history committed to memory and transmitted by bards. Bards facilitated the memorization of such materials by the use of metre, rhyme and other formulaic poetic devices.;;;;;;;;;x;;
TITLE_CREATION_KING_COST_DESC;Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold.;Créer ce titre va vous octroyer §G$PRESTIGE$§! Prestige et vous coûtera §R$GOLD$§!.;Dieser Titel würde Euer §G$PRESTIGE$§! Prestige erhöhen. Er kostet Euch §R$GOLD$§! Gold.;;La creación de este título te otorgaría §G$PRESTIGE$§! de Prestigio y te costaría §R$GOLD$§!.;;;;;;;;;x;;
title_dregvant;Dregvant;Dregvant;Dregvant;;Dregvant;;;;;;;;;x;;
title_dregvant_desc;Publicly proclaim him as the Wicked one - the man who yielded to the temptation of Druj.;Publicly proclaim him as the Wicked one - the man who yielded to the temptation of Druj.;Publicly proclaim him as the Wicked one - the man who yielded to the temptation of Druj.;;Publicly proclaim him as the Wicked one - the man who yielded to the temptation of Druj.;;;;;;;;;x;;
title_druid;Druid;Druid;Druid;;Druid;;;;;;;;;x;;
title_druid_desc;The druid's knowledge of the ancient celtic ballads and of sacred traditions is great and their power among the celts is without equal.;The druid's knowledge of the ancient celtic ballads and of sacred traditions is great and their power among the celts is without equal.;The druid's knowledge of the ancient celtic ballads and of sacred traditions is great and their power among the celts is without equal.;;The druid's knowledge of the ancient celtic ballads and of sacred traditions is great and their power among the celts is without equal.;;;;;;;;;x;;
title_favored_son;Favored Son;Favored Son;Favored Son;;Favored Son;;;;;;;;;x;;
title_favored_son_desc;This child has the potential to be a truly worthy heir to your realm;This child has the potential to be a truly worthy heir to your realm;This child has the potential to be a truly worthy heir to your realm;;This child has the potential to be a truly worthy heir to your realm;;;;;;;;;x;;
title_female_lord_jewish_group;Leidi;Leidi;Leidi;;Leidi;;;;;;;;;x;;
title_flamen_dialis;Flamen Dialis;Flamen Dialis;Flamen Dialis;;Flamen Dialis;;;;;;;;;;;
title_flamen_dialis_desc;The Flamen Dialis is the high priest of Jupiter.;The Flamen Dialis is the high priest of Jupiter.;The Flamen Dialis is the high priest of Jupiter.;;The Flamen Dialis is the high priest of Jupiter.;;;;;;;;;;;
title_flamen_martialis;Flamen Martialis;Flamen Martialis;Flamen Martialis;;Flamen Martialis;;;;;;;;;;;
title_flamen_martialis_desc;The Flamen Martialis is the high priest of Mars.;The Flamen Martialis is the high priest of Mars.;The Flamen Martialis is the high priest of Mars.;;The Flamen Martialis is the high priest of Mars.;;;;;;;;;;;
title_flamen_quirinalis;Flamen Quirinalis;Flamen Quirinalis;Flamen Quirinalis;;Flamen Quirinalis;;;;;;;;;;;
title_flamen_quirinalis_desc;The Flamen Quirinalis is the high priest of Quirinus.;The Flamen Quirinalis is the high priest of Quirinus.;The Flamen Quirinalis is the high priest of Quirinus.;;The Flamen Quirinalis is the high priest of Quirinus.;;;;;;;;;;;
title_flaminica_dialis;Flaminica Dialis;Flaminica Dialis;Flaminica Dialis;;Flaminica Dialis;;;;;;;;;;;
title_flaminica_dialis_desc;As wife of the Flamen Dialis, the Flaminica Dialis are entrusted to perform certain religious rituals.;As wife of the Flamen Dialis, the Flaminica Dialis are entrusted to performs certain religious rituals.;As wife of the Flamen Dialis, the Flaminica Dialis are entrusted to performs certain religious rituals.;;As wife of the Flamen Dialis, the Flaminica Dialis are entrusted to performs certain religious rituals.;;;;;;;;;;;
title_flaminica_martialis;Flaminica Martialis;Flaminica Martialis;Flaminica Martialis;;Flaminica Martialis;;;;;;;;;;;
title_flaminica_martialis_desc;As wife of the Flamen Martialis, the Flaminica Martialis are entrusted to perform certain religious rituals.;As wife of the Flamen Martialis, the Flaminica Martialis are entrusted to performs certain religious rituals.;As wife of the Flamen Martialis, the Flaminica Martialis are entrusted to performs certain religious rituals.;;As wife of the Flamen Martialis, the Flaminica Martialis are entrusted to performs certain religious rituals.;;;;;;;;;;;
title_flaminica_quirinalis;Flaminica Quirinalis;Flaminica Quirinalis;Flaminica Quirinalis;;Flaminica Quirinalis;;;;;;;;;;;
