#CODE;ENGLISH;GERMAN;FRENCH;;SPANISH;;;;;;;;;x
aten_pagan;Atenic;Atenic;Atenic;;Atenic;;;;;;;;;
aten_pagan_DESC;The Atenic religion is a proto-monotheistic religion that split off from Kemetism. Originally founded by the pharaoh Akhenaten, this heresy usurped the position of supreme god, typically held by Amun, with Aten. In addition, this heresy completely disowns the other Kemetic gods in complete favour of Aten. The heresy died out shortly after Akhenaten's death.;The Atenic religion is a proto-monotheistic religion that split off from Kemetism. Founded by the pharaoh Akhenaten, this heresy usurped the position of supreme god, typically held by Amun, with Aten. In addition, this heresy completely disowns the other Kemetic gods in complete favour of Aten. The heresy died out shortly after Akhenaten's death.;The Atenic religion is a proto-monotheistic religion that split off from Kemetism. Founded by the pharaoh Akhenaten, this heresy usurped the position of supreme god, typically held by Amun, with Aten. In addition, this heresy completely disowns the other Kemetic gods in complete favour of Aten. The heresy died out shortly after Akhenaten's death.;;The Atenic religion is a proto-monotheistic religion that split off from Kemetism. Founded by the pharaoh Akhenaten, this heresy usurped the position of supreme god, typically held by Amun, with Aten. In addition, this heresy completely disowns the other Kemetic gods in complete favour of Aten. The heresy died out shortly after Akhenaten's death.;;;;;;;;;
aztec_group;Mesoamerican;Aztèques;Mesoamerican;;Mesoamerican;;;;;;;;;x
aztec_pagan;Aztec;Aztèque;Azteke;;Aztec;;;;;;;;;x
aztec_pagan_reformed;Reformed Aztec;Reformed Aztèque;Reformed Azteke;;Reformed Aztec;;;;;;;;;x
baltic_pagan;Baltic;Baltic;Baltic;;Baltic;;;;;;;;;x
barony_of_celtic_pagan;Tuath of;Tuath of;Tuath of;;Tuath of;;;;;;;;;x
barony_of_celtic_pagan_reformed;Castle of;Castle of;Castle of;;Castle of;;;;;;;;;x
barony_of_jewish_group;Migdal of;Migdal of;Migdal of;;Migdal of;;;;;;;;x;
baron_african_pagan;Hetman;Hetman;Hetman;;Hetman;;;;;;;;;x
baron_celtic_pagan;Chief;Chef;Chief;;Señor;;;;;;;;;x
baron_celtic_pagan_reformed;Lord;Seigneur;Fürst;;Lord;;;;;;;;;x
baron_female_celtic_pagan;Lady;Lady;Lady;;Lady;;;;;;;;;x
baron_female_celtic_pagan_reformed;Lady;Madame;Herrin;;Lady;;;;;;;;;x
baron_female_druidic;Lady;Lady;Lady;;Lady;;;;;;;;;x
baron_female_hellenic_pagan;Eques;Eques;Eques;;Eques;;;;;;;;;x
baron_female_jewish_group;Nagidah;Nagidah;Nagidah;;Nagidah;;;;;;;;;x
baron_hellenic_pagan;Eques;Eques;Eques;;Eques;;;;;;;;;x
baron_jewish_group;Nagid;Nagid;Nagid;;Nagid;;;;;;;;;x
baron_norse_pagan;Lord;Seigneur;Fürst;;Señor;;;;;;;;;x
baron_pagan_group;Hetman;Hetman;Hetman;;Hetman;;;;;;;;;x
baron_title_ruler_consort_female_aten_pagan;Mistress of the House;Mistress of the House;Mistress of the House;;Mistress of the House;;;;;;;;;x
baron_title_ruler_consort_female_egyptian_pagan;Mistress of the House;Mistress of the House;Mistress of the House;;Mistress of the House;;;;;;;;;x
baron_title_ruler_consort_female_jewish_group;Nagidah;Nagidah;Nagidah;;Nagidah;;;;;;;;;
baron_title_ruler_consort_jewish_group;Nagid;Nagid;Nagid;;Nagid;;;;;;;;;x
bektashi;Zaydi;Zaydi;Zaidi;;Zaydi;;;;;;;;;x
bektashi_DESC;Bektashism is a Sufi mystic order whose central tenet is the Wahdat-ul-Wujood - the single unified entity Allah-Muhammed-Ali. In the game it is regarded as a heresy. Defining features in-game:\n§Y*§! Muslim rulers can - and are expected to have - multiple wives\n§Y*§! Mosque Holdings can be held by anyone without penalty\n§Y*§! Muslim dynasties grow decadent unless the men have enough land and win wars;Dans le jeu :\n§Y*§! Les dirigeants musulmans peuvent (et doivent) avoir plusieurs femmes\n§Y*§! Les propriétés de la mosquée peuvent être tenues par quiconque sans pénalité\n§Y*§! Les dynasties musulmanes deviennent décadentes, sauf si les hommes ont assez de terres et qu'ils gagnent des guerres;Bestimmende Merkmale im Spiel:\n§Y*§! Muslimische Herrscher können und sollten mehrere Ehefrauen haben\n§Y*§! Moschee-Liegenschaften können von Jedem ohne Strafe gehalten werden\n§Y*§! Muslimische Dynastien werden mit der Zeit dekadent, außer die Männer besitzen ausreichend Land und gewinnen Kriege;;Definiendo características del juego:\n§Y*§! Los gobernantes Musulmanes pueden tener (y se espera que tengan) varias esposas\n§Y*§! Las Celebraciones en la Mezquita pueden ser celebradas por cualquier persona sin cargos\n§Y*§! Las dinastías Musulmanas se vuelven decadentes a menos que los hombres tengan suficiente tierra y ganen guerras;;;;;;;;;x
build_pyramid;Build a Pyramid;Build a Pyramid;Build a Pyramid;;Build a Pyramid;;;;;;;;;
build_pyramid_desc;Build yourself a mighty tomb;Build yourself a mighty tomb;Build yourself a mighty tomb;;Build yourself a mighty tomb;;;;;;;;;
catholic_mend_great_schism;Mend the Great Schism;Mettre fin au Grand Schisme;Heile das Große Schisma;;Reparar el Gran Cisma;;;;;;;;;x
catholic_mend_great_schism_desc;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under the papal authority of the Catholic faith, there may be a chance to finally reunite Christendom.;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under the papal authority of the Catholic faith, there may be a chance to finally reunite Christendom.;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under the papal authority of the Catholic faith, there may be a chance to finally reunite Christendom.;;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under the papal authority of the Catholic faith, there may be a chance to finally reunite Christendom.;;;;;;;;;x
celtic_pagan;Celtic;Celtic;Celtic;;Celtic;;;;;;;;;x
celtic_pagan_DESC;Celtic paganism claims to be one of the last surviving branches of the ancient druidic belief systems. A pantheon of gods and a world full of spirits, the children of Dana rule the Skies, the Earth and the Otherworld. The main gods are Dana and Nuada, Angus, the god of Youth, Macha, the horse goddess, the great Daghda, Manannan mac Lir, the Sea God and Lugh of the Long Spear. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Low-tech non-pagans have very low Supply Limit in Pagan counties\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers lose Prestige if at peace for too long\n§Y*§! The Celtic Pagan faith can be Reformed;Celtic paganisme est l'une des dernières branches survivantes des anciens systèmes de croyances druidiques. Un panthéon de dieux et un monde rempli d'esprits, les enfants de Dana gouverner le Ciel, la Terre et l'au-delà. Les principaux dieux sont Dana et Nuada, Angus, le dieu de la jeunesse, Macha, la déesse de cheval, le grand Daghda, Manannân Mac Lir, le dieu de la mer et de la Lance de Lugh long. Caractéristiques en jeu la définition: \n§Y*§! Peut attaquer les voisins pour un butin \n§Y*§! Non-païens low-tech ont une très faible limite d'approvisionnement dans les comtés Pagan \n§Y*§! Peut déclarer Assujettissement guerres contre tous les autres païens \n§Y*§! Les règles sont limités à la succession Gavelkind \n§Y*§! Les règles ne peuvent pas déclarer Holy Wars \n§Y*§! Inférieur à la conversion et vulnérables aux missionnaires non-païens \n§Y*§! Rulers perdent Prestige si en paix depuis trop longtemps \n§Y*§! La foi païenne celtic peut être réformé;Celtic Heidentum ist eine der letzten überlebenden Zweige der alten druidic Glaubenssysteme. Ein Pantheon der Götter und eine Welt voller Geister, regieren die Kinder Dana den Himmel, die Erde und der Anderswelt. Die wichtigsten Götter sind Dana und Nuada, Angus, der Gott der Jugend, Macha, das Pferd Göttin, der große Daghda, Manannan mac Lir, das Meer und Gott Lugh des Long Spear. Definieren von Eigenschaften im Spiel: \n§Y*§! Kann Nachbarn Beute überfallen \n§Y*§! Low-Tech-nicht-Heiden haben eine sehr niedrige Versorgung Grenze in Pagan Kreise \n§Y*§! Kann Unterwerfung Kriege gegen alle anderen Heiden erklären \n§Y*§! Lineale sind Gavelkind Succession begrenzt \n§Y*§! Lineale kann nicht erklären, Holy Wars \n§Y*§! Minderwertige bei Umwandlung und anfällig für nicht-heidnische Missionare \n§Y*§! Lineale verlieren Prestige, wenn in Frieden zu lange \n§Y*§! Die celtic Pagan Glauben reformiert werden;;Celtic paganism is one of the last surviving branches of the ancient druidic belief systems. A pantheon of gods and a world full of spirits, the children of Dana rule the Skies, the Earth and the Otherworld. The main gods are Dana and Nuada, Angus, the god of Youth, Macha, the horse goddess, the great Daghda, Manannan mac Lir, the Sea God and Lugh of the Long Spear. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Low-tech non-pagans have very low Supply Limit in Pagan counties\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers lose Prestige if at peace for too long\n§Y*§! The Celtic Pagan faith can be Reformed;;;;;;;;;x
celtic_pagan_reformed;Tuatha;Tuatha;Tuatha;;Tuatha;;;;;;;;;x
