#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
action_uncover_plots;Uncover Plots;Dévoiler les complots;intrigieren;;Estratagema;;;;;;;;;x;;
adopt_celtic_rites;You re-institute old pagan traditions;You reinstitute old pagan traditions;You reinstitute old pagan traditions;;You reinstitute old pagan traditions;;;;;;;;;x;;
adopt_druidism;You become a Celtic pagan;You become a celtic pagan;You become a celtic pagan;;You become a celtic pagan;;;;;;;;;x;;
aghlabid_867;Aghlabid Conquest of Sicily;Aghlabid Conquest of Sicily;Aghlabid Conquest of Sicily;;Aghlabid Conquest of Sicily;;;;;;;;;;;
aghlabid_867_desc;Aghlabid Conquest of Sicily;Aghlabid Conquest of Sicily;Aghlabid Conquest of Sicily;;Aghlabid Conquest of Sicily;;;;;;;;;;;
AIREASON_WILL_NOT_MARRY_INFIDELS;§Y[GetTitledFirstName]§! must not marry an infidel;§Y[GetTitledFirstName]§! ne doit pas épouser un infidèle.;§Y[GetTitledFirstName]§! darf einen Ungläubigen nicht heiraten;;§Y[GetTitledFirstName]§! no debe desposarse con un infiel;;;;;;;;;x;;
AMIRJIHAD;Emir-ul-Mujahdeen;Emir-ul-Mujahdeen;Emir-ul-Mujahdeen;;Emir-ul-Mujahdeen;;;;;x;;;;;;
APPOINT_REGENTS_OFF;You can no longer wage De Jure wars without a Ducal claim.\n;Vous ne pouvez plus mener des guerres De Jure sans revendication ducale.\n;De Jure-Krieg können nicht ohne Gebietsanspruch erklärt werden\n;;You can no longer wage De Jure wars without a Ducal claim.\n;;;;;;;;;x;;
APPOINT_REGENTS_ON;You can now wage De Jure wars without a Ducal claim.\n;Vous pouvez maintenant mener des guerres De Jure sans revendication ducale.\n;De Jure-Krieg können ohne Gebietsanspruch erklärt werden\n;;You can now wage De Jure wars without a Ducal claim.\n;;;;;;;;;x;;
ARRANGE_BETROTHAL_INTERACTION_5;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;;;;;;;;x;;
arrange_prisoner_swap;Arrange an exchange of hostages;Arrange an exchange of hostages;Arrange an exchange of hostages;;Arrange an exchange of hostages;;;;;;;;;;;
arrange_prisoner_swap_desc;Arrange an exchange of hostages;Arrange an exchange of hostages;Arrange an exchange of hostages;;Arrange an exchange of hostages;;;;;;;;;;;
ARRANGE_SUCC_BETROTHAL_INTERACTION_5;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;;;;;;;;x;;
ashkenazi;Ashkenazi;Ashkenaze;Aschkenasisch;;Ashkenazi;;;;;;;;;x;;
attempted_kidnapping;Attempted Kidnapping;A essayé de kidnapper;Entführung versucht;;Attempted Kidnapping;;;;;;;x;;;;
attempted_kidnapping_of_kin;Attempted Kidnapping of Kin;A essayé de kidnapper un proche;Versuchte Entführung eines Verwandten;;Attempted Kidnapping of Kin;;;;;;;x;;;;
attempted_kidnapping_of_vassal;Attempted Kidnapping of Vassal;A essayé de kidnapper un vassal;Versuchte Entführung eines Vasallen;;Attempted Kidnapping of Vassal;;;;;;;x;;;;
attempted_murder_of_close_kin;Attempted Murder of Close Kin;Tentative de meurtre de parents proches;Sippenmörder;;Attempted Murder of Close Kin;;;;;;;;;x;;
ATT_ACTIVE;§YAdditional Titular Titles§! is active\n;§YAdditional Titular Titles§! is active\n;§YAdditional Titular Titles§! is active\n;;§YAdditional Titular Titles§! is active\n;;;;;;;;;;;
AWARD_HONORARY_TITLE_INTERACTION_0;Select a decision to take for §Y[Recipient.GetTitledFirstName]§!.;Sélectionner une décision pour §Y[Recipient.GetTitledFirstName]§!.;Wählen Sie einen Entschluss für §Y[Recipient.GetTitledFirstName]§! aus.;;Select a decision to take for §Y[Recipient.GetTitledFirstName]§!.;;;;;;;;;x;;
AWARD_HONORARY_TITLE_INTERACTION_1;Take the §Y[ThirdPartyTitle.GetFullName]§! decision for §Y[Recipient.GetFullName]§!.;Octroyer le titre de §Y[ThirdPartyTitle.GetFullName]§! à §Y[Recipient.GetFullName]§!;Nimm die §Y[ThirdPartyTitle.GetFullName]§! entscheidung für §Y[Recipient.GetFullName]§!.;;Take the §Y[ThirdPartyTitle.GetFullName]§! decision for §Y[Recipient.GetFullName]§!.;;;;;;;;;x;;
AWARD_HONORARY_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! took the decision §Y[ThirdPartyTitle.GetFullName]§! for §Y[Recipient.GetBestName]§!;§Y[Actor.GetBestName]§! a pris la décision de §Y[ThirdPartyTitle.GetFullName]§! pour §Y[Recipient.GetBestName]§!;§Y[Actor.GetBestName]§! traf den Entschluss §Y[ThirdPartyTitle.GetFullName]§! bezüglich §Y[Recipient.GetBestName]§!.;;§Y[Actor.GetBestName]§! took the decision §Y[ThirdPartyTitle.GetFullName]§! for §Y[Recipient.GetBestName]§!;;;;;;;;;x;;
AWARD_HONORARY_TITLE_INTERACTION_ACCEPT_SETUP;Character Decision;Décision du personnage;Charakter-Entschlüsse;;Character Decision;;;;;;;;;x;;
AWARD_HONORARY_TITLE_INTERACTION_DESC;Take a decision regarding this character.;Prendre une décision concernant ce personnage.;Treffen Sie einen Entschluss bezüglich dieses Charakters.;;Take a decision regarding this character.;;;;;;;;;x;;
AWARD_HONORARY_TITLE_INTERACTION_LONG_DESC;This opens the character decision submenu, where you can take any decisions not listed in the diplomacy menu. This includes awarding and revoking honorary titles, granting vassals independence, and other such choices.;Cela ouvre le sous-menu de décisions du personnage, où vous pouver prendre toutes les décisions absentes du menu diplomatique. Cela inclus l'octroi ou l'annulation de titres honorifiques, l'octroi d'indépendance à un vassal, et d'autres choix similaires.;Das öffnet das Charakter-Entschlussmenü, wo Sie weitere (im Diplomatie-Menü nicht verzeichnete) Entschlüsse treffen können. Das schließt Verleihung und Widerrufen von Ehrentiteln ein, Vasall-Unabhängigkeit, und anderes.;;This opens the character decision submenu, where you can take any decisions not listed in the diplomacy menu. This includes awarding and revoking honorary titles, granting vassals independence, and other such choices.;;;;;;;;;x;;
AWARD_HONORARY_TITLE_INTERACTION_TITLE;Decisions;Octroyer un titre honorifique;Entschlüsse;;Decisions;;;;;;;;;x;;
bad_relations;Bad Relations;Mauvaises relations;Schlechte Beziehungen;;Bad Relations;;;;;;;x;;;;
bad_speech;Bad Speech;Mauvais orateur;Bad Speech;;Bad Speech;;;;;;;;;x;;
