#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bolghar;Bolghar;Bulghar;;;;;;;;;;;;x
gallawa;Gallawa;Gallawa;;;;;;;;;;;;x
holy_war_timer;Recent Holy War;Guerre sainte récente;;;;;;;;;;;;x
county_conquest_timer;Recent County Conquest;Conquête récente;;;;;;;;;;;;x
CURSES;Curses;Malédiction !;;;;;;;;;;;;x
ultimatum_refused;Rejected faction demands;A rejeté les exigences de la faction;;;;;;;;;;;;x
opinion_supported_in_meeting;Supported me in a vote;M'a soutenu dans un vote;;;;;;;;;;;;x
opinion_opposed_in_meeting;Opposed me in a vote;S'est opposé à moi dans un vote;;;;;;;;;;;;x
desc_holy_war_timer;This character has recently started a Holy War and cannot begin another until this modifier expires.;Ce personnage a récemment lancé une guerre sainte et ne peut pas en lancer une autre avec que ce modificateur ne se dissipe.;;;;;;;;;;;;x
desc_county_conquest_timer;This character has recently started a County Conquest and cannot begin another until this modifier expires.;Ce personnage a récemment lancé une conquête de comté et ne peut pas en lancer une autre avec que ce modificateur ne se dissipe.;;;;;;;;;;;;x
CB_NAME_TRUCE_NOTIFIER;Enforced Truce;Traité de paix forcé;;;;;;;;;;;;x
TECH_LEGALISM;Legalism;Légalisme;Legalismus;;Legalismo;;;;;;;;;x
TECH_LEGALISM_DESC;With clearly codified laws it becomes easier to administrate a larger territory.;Avec des lois clairement définies, il est plus simple d'administrer un grand territoire.;;;;;;;;;;;;x
WAR_NAME_TRUCE_NOTIFIER;$ORDER$$FIRST$ War of Not Paying Attention;$ORDER$$FIRST$ Guerre d'inattention;;;;;;;;;;;;x
truce_notifier_desc;You cannot declare war on this character right now. Either one of you is a newly independent rebel/crusader state OR you are holding a grand tournament.;Vous ne pouvez pas déclarer la guerre à ce personnage pour l'instant. Soit l'un de vous est un souverain rebelle/croisé indépendant depuis peu SOIT vous êtes en train d'organiser un grand tournoi.;;;;;;;;x;;;;
action_uncover_plots;Uncover Plots;Dévoiler les complots;intrigieren;;Estratagema;;;;;;;;;x
thieves_guild;Thieves' Guild;Guilde des voleurs;Diebesgilde;;Cofradía de ladrones;;;;;;;;;x
thieves_guild_desc;A thieves' guild preys on the population of this province.;À cause de la mauvaise intendance du comte, le nombre de voleurs qui s’en prennent aux habitants du comté a explosé.;Aufgrund der mangelnden Verwaltungsfähigkeit des Grafen gibt es enorm viel Diebe, die es auf das Hab und Gut der Leute abgesehen haben.;;Debido a la baja Administración del conde, la cantidad de ladrones que roban a la gente del condado es enorme.;;;;;;;;;x
smugglers_ring;Smugglers' Ring;Cercles de contrebandiers;Schmugglerring;;Grupo de contrabandistas;;;;;;;;;x
smugglers_ring_desc;An organized ring of smugglers infests this province.;À cause des piètres compétences diplomatiques du comte, les contrebandiers infestent la région.;Aufgrund der geringen Diplomatiefähigkeit des Grafen suchen Schmuggler die Region heim.;;Debido a la baja Diplomacia del conde, los contrabandistas infestan el área.;;;;;;;;;x
highway_robber_band;Highway Robber Band;Bande de voleurs de grands chemins;Wegelagererbande;;Grupo de bandidos;;;;;;;;;x
highway_robber_band_desc;Bands of robbers are prowling the countryside of this province.;À cause des piètres compétences martiales du comte, des voleurs rôdent dans les campagnes. Une grande part des troupes locales est chargée de les neutraliser.;Aufgrund der geringen Kriegskunstfähigkeit des Grafen durchstreifen Wegelagerer die Lande. Ein Großteil der hiesigen Wehrpflichtigen ist damit beschäftigt, sie in Schach zu halten.;;Debido a la baja habilidad Marcial del conde, grupos de bandidos rondan por el campo. Una gran parte de la leva local está ocupada tratando de eliminarlos.;;;;;;;;;x
crusader_group;Crusader;Croisé;;;;;;;;;;;;x
great_speech;Great Speech;Grand orateur;;;;;;;;;;;;x
good_speech;Good Speech;Bon orateur;;;;;;;;;;;;x
okay_speech;Fair Speech;Orateur moyen;;;;;;;;;;;;x
bad_speech;Bad Speech;Mauvais orateur;;;;;;;;;;;;x
terrible_speech;Awful Speech;Orateur consternant;;;;;;;;;;;;x
city_king_byzantine;Grand Archon;Grand Archonte;;;;;;;;;;;;x
city_duke_byzantine;Archon;Archonte;;;;;;;;;;;;x
ugricbaltic;Estonian;Estonienne;Estländischer;;Estonia;;;;;;;;;x
WAR_NAME_COASTAL_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ guerre pour la cité de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Krieg um die Stadt von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ se enfrentan por la ciudad de $OTHER_TITLE$;;;;;;;;;x
CB_NAME_COASTAL_REPUBLIC;Seize the Coast of [Title.GetBaseName];S'emparer de la cité de [Title.GetBaseName];Erobert die Stadt von [Title.GetBaseName];;Arrasar la ciudad de [Title.GetBaseName];;;;;;;;;x
opinion_aggressive_republic;Aggressor;Aggresseur;;;;;;;;;;;;x
restore_byzantium_desc;This Casus Belli can used to seize Constantinople and restore the Byzantine Empire.;Ce Casus Belli peut être utilisé pour reprendre Constantinople et restaurer l'Empire Byzantin;;;;;;;;;;;;x
