#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CHARACTER_TOOLTIP_DELAYED;Dynasty: §Y[GetOnlyDynastyName]\n§!Culture: §Y[Culture.GetName]\n§!Religion: §Y[Religion.GetName]\n§![GetStatusInfo];Dynastie : §Y[GetOnlyDynastyName]\n§!Culture : §Y[Culture.GetName]\n§!Religion : §Y[Religion.GetName]\n§![GetStatusInfo];Dynastie: §Y[GetOnlyDynastyName]\n§!Kultur: §Y[Culture.GetName]\n§!Religion: §Y[Religion.GetName]\n§![GetStatusInfo];;;;;;;;;;;x
CUSTOMTOOLTIP1;§Y[Root.GetTitledFirstName]§! §GWILL§W become §Y[FromFrom.GetTitledFirstName]§!'s landed vassal.\n;§Y[Root.GetTitledFirstName]§! §Gva§W devenir votre vassal.\n;§Y[Root.GetTitledFirstName]§! §GWIRD§W §Y[FromFrom.GetTitledFirstName]§!'s Vasall werden\n;;;;;;;;;;x;
CUSTOMTOOLTIP2;§Y[Root.GetTitledFirstName]§! will §RNOT§W become §Y[FromFrom.GetTitledFirstName]§!'s landed vassal.\n;§Y[Root.GetTitledFirstName]§! §Rne va pas§W devenir votre vassal.\n;§Y[Root.GetTitledFirstName]§! wird §RNICHT§W §Y[FromFrom.GetTitledFirstName]§!'s Vasall werden\n;;;;;;;;;;x;
CUSTOMTOOLTIP3;§Y[This.GetTitledFirstName]§! will become the independent ruler of all lands taken in the Crusade.\n;§Y[This.GetTitledFirstName]§! va devenir le souverain indépendant de toutes les terres conquises lors de la Croisade.\n;§Y[This.GetTitledFirstName]§! wird unabhängiger Herrscher der Ländereien, die während des Kreuzzugs erobert wurden\n;;;;;;;;;;x;
CUSTOMTOOLTIP4;A distant relative will become the independent ruler of all lands taken in the Crusade.\n;Un parent éloigné va devenir le souverain indépendant de toutes les terres conquises lors de la Croisade.\n;Ein Verwandter wird unabhängiger Herrscher der Ländereien, die während des Kreuzzugs erobert wurden\n;;;;;;;;;;x;
CUSTOMTOOLTIP11;Agnatic Succession;Succession Agnatique;Agnatische Nachfolge;;Sucesión agnática;;;;;;;;;x
CUSTOMTOOLTIP12;Agnatic-Cognatic Succession;Succession Agnatico-cognatique;Agnatisch-kognatische Nachfolge;;Sucesión Agnación-cognación;;;;;;;;;x
CUSTOMTOOLTIP13;Cognatic Succession;Succession Cognatique;Kognatische Nachfolge;;Sucesión cognática;;;;;;;;;x
TYRANTTOOLTIP5;Gain §R5§! Tyranny\n;Gain §R5§! Tyrannie\n;Erhalte §R5§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP10;Gain §R10§! Tyranny\n;Gain §R10§! Tyrannie\n;Erhalte §R10§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP15;Gain §R15§! Tyranny\n;Gain §R15§! Tyrannie\n;Erhalte §R15§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP20;Gain §R20§! Tyranny\n;Gain §R20§! Tyrannie\n;Erhalte §R20§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP30;Gain §R30§! Tyranny\n;Gain §R30§! Tyrannie\n;Erhalte §R30§! Tyrannei\n;;;;;;;;;;;x
TYRANTTOOLTIP40;Gain §R40§! Tyranny\n;Gain §R40§! Tyrannie\n;Erhalte §R40§! Tyrannei\n;;;;;;;;;;;x
CUSTOMTOOLTIP5;The plot will be abandoned.\n;Le complot sera abandonné.\n;Die Verschwörung wird aufgegeben.\n;;;;;;;;;;x;
ASSASSINATESUCCESSDISCOVERED;The assassination succeeds but is discovered\n;L'assassin a réussi mais a été découvert.\n;Das Attentat gelingt, aber es wird auch entdeckt\n;;;;;;;;;;x;
ASSASSINATESUCCESS;The assassination succeeds\n;L'assassin a réussi.\n;Das Attentat gelingt\n;;;;;;;;;;x;
ASSASSINATEFAILUREDISCOVERED;The assassination fails and is discovered\n;L'assassin a échoué et a été découvert.\n;Das Attentat schlägt fehl und wird entdeckt\n;;;;;;;;;;x;
ASSASSINATEFAILURE;The assassination fails\n;L'assassin a échoué.\;Das Attentat schlägt fehl\n;;;;;;;;;;x;
CUSTOMTOOLTIP6;§Y[This.Location.GetName]§!: Embarked troops take §R33%§! losses\n;§Y[This.Location.GetName]§!: Les troupes embarquées ont §R33%§! de perte\n;§Y[This.Location.GetName]§!: Eingeschiffte Truppen erleiden §R33%§! Verlust\n;;;;;;;;;x;;
CUSTOMTOOLTIP7;At least 50% of the Electors (including yourself) must approve the new Succession Law. Good relations and high crown authority will make your Electors more likely to approve the proposal.\n;Au moins 50% des électeurs (y compris vous-même) doivent approuver la nouvelle loi de succession. Les bonnes relations et l'autorité élevée de couronne inciteront plus vraisemblablement vos électeurs à approuver la proposition.\n;Zumindest 50% der Wähler (einschließlich Euch selbst) müssen dem neuen Erbrecht zustimmen. Gute Beziehungen und eine hohe Kronautorität führen zu höherer Zustimmung.\n;;;;;;;;;;x;
CUSTOMTOOLTIP8;Voted §GYES§! ([This.PrimaryTitle.GetFullName])\n;Voté §GOUI§! ([This.PrimaryTitle.GetFullName])\n;Stimmte §GZU§! ([This.PrimaryTitle.GetFullName])\n;;;;;;;;;;x;
CUSTOMTOOLTIP9;Voted §RNO§! ([This.PrimaryTitle.GetFullName])\n;Voté §GNON§! ([This.PrimaryTitle.GetFullName])\n;Stimmte §RDAGEGEN§! ([This.PrimaryTitle.GetFullName])\n;;;;;;;;;;x;
CUSTOMTOOLTIP10;Will vote on the proposed Succession Law change ([This.PrimaryTitle.GetFullName])\n;Votera sur le changement de loi de succession proposé ([This.PrimaryTitle.GetFullName])\n;Wird über die vorgeschlagene Änderung des Erbrechtes abstimmen. ([This.PrimaryTitle.GetFullName])\n;;;;;;;;;;x;
CUSTOMTOOLTIP15;§Y[Root.GetTitledFirstName]§! and §Yall other attackers§!: §Y[From.Liege.GetTitledName]§! becomes new liege\n;§Y[Root.GetTitledFirstName]§! et §Ytous les autres attaquants§!: §Y[From.Liege.GetTitledName]§! deviennent les nouveaux suzerains\n;§Y[Root.GetTitledFirstName]§! und §Yalle andere Angreifer§!: §Y[From.Liege.GetTitledName]§! wird der neuer Lehnsherr\n;;;;;;;;;;;x
CUSTOMTOOLTIP16;You must have a §Yrealm size§! of at least §Y200§! to create an empire (if the title is unavailable despite matching these conditions, wait a year or two and it should become available)\n;La §taille de votre royaume§! doit être au moins de §Y200§ ! pour créer un empire (si le titre est indisponible malgré le fait que ces conditions soient remplies, attendez une année ou deux et il devrait devenir disponible)\n;Sie müssen eine §YReichgröße§! von mindestens §Y200§! um ein Kaiserreich zu erschaffen\n;;;;;;;;;;;x
CUSTOMTOOLTIP17;§Y[Root.GetTitledFirstName]§! and §Yall other attackers§!: Become Independent\n;§Y[Root.GetTitledFirstName]§! et §Ytous les autres attaquants§!: deviennent indépendants\n;§Y[Root.GetTitledFirstName]§! ond §Yalle andere Angreifer§!: Werden unabhängig\n;;;;;;;;;;;x
*;;;;;;;;;;;;;;x;
