#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
ca_culture_saxon_english_1; Small Longbow Range;Archerie d’arc long;Langbogen-Schießplatz;;Arquería de arco largo;;;;;;;;;x;
ca_culture_saxon_english_2;Longbow Range;Archerie d’arc long;Langbogen-Schießplatz;;Arquería de arco largo;;;;;;;;;x;
ca_culture_saxon_english_3;Expanded Longbow Range;Grande archerie d’arc long;Erweiterter Langbogen-Schießplatz;;Arquería de arco largo ampliada;;;;;;;;;x;
ca_culture_saxon_english_4;Large Longbow Range;Arbalétrerie;Großer Langbogen-Schießplatz;;Arquería de arco largo grande;;;;;;;;;x;
ca_culture_saxon_english_5;Great Large Longbow Range;Arbalétrerie;Großer Langbogen-Schießplatz;;Arquería de arco largo grande;;;;;;;;;x;
ca_culture_scottish_1;Small Schiltron Training Ground;Terrain de piquiers;Kleiner Schiltron-Übungsplatz;;Zona de entrenamiento de falanges pequeña;;;;;;;;;x;
ca_culture_scottish_2;Schiltron Training Ground;Quartier des lanciers;Mittlerer Schiltron-Übungsplatz;;Zona de entrenamiento de falanges mediana;;;;;;;;;x;
ca_culture_scottish_3;Medium Schiltron Training Ground;Quartier des schiltrons;Großer Schiltron-Übungsplatz;;Zona de entrenamiento de falanges grande;;;;;;;;;x;
ca_culture_scottish_4;Large Schiltron Training Ground;Quartier des Hallebardiers;Riesiger Schiltron-Übungsplatz;;Zona de entrenamiento de falanges muy grande;;;;;;;;;x;
ca_culture_scottish_5;Great Schiltron Training Ground;Quartier des Hallebardiers;Riesiger Schiltron-Übungsplatz;;Zona de entrenamiento de falanges muy grande;;;;;;;;;x;
ca_culture_group_baltic_1;Small Warrior Gathering Ground;Lieu de réunion de guerriers;Kleiner Krieger-Sammelplatz;;Zona de reunión de guerreros pequeña;;;;;;;;;x;
ca_culture_group_baltic_2;Warrior Gathering Ground;Lieu de rassemblement de guerriers;Krieger-Sammelplatz;;Zona de reunión de guerreros;;;;;;;;;x;
ca_culture_group_baltic_3;Medium Warrior Gathering Ground;Assemblée de guerriers;Mittlerer Krieger-Sammelplatz;;Zona de reunión de guerreros mediana;;;;;;;;;x;
ca_culture_group_baltic_4;Large Warrior Gathering Ground;Grande assemblée de guerriers;Großer Krieger-Sammelplatz;;Zona de reunión de guerreros grande;;;;;;;;;x;
ca_culture_group_baltic_5;Great Warrior Gathering Ground;Grande assemblée de guerriers;Großer Krieger-Sammelplatz;;Zona de reunión de guerreros grande;;;;;;;;;x;
ca_culture_group_altaic_1;Small Riding Grounds;Petit camp équestre;Kleines Reitgelände;;Zona de equitación pequeña;;;;;;;;;x;
ca_culture_group_altaic_2;Riding Grounds;Camp équestre;Mittleres Reitgelände;;Zona de equitación mediana;;;;;;;;;x;
ca_culture_group_altaic_3;Medium Riding Grounds;Grand camp équestre;Großes Reitgelände;;Zona de equitación grande;;;;;;;;;x;
ca_culture_group_altaic_4;Large Riding Grounds;Grande chevauchée;Riesiges Reitgelände;;Zona de equitación muy grande;;;;;;;;;x;
