#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
HERO_RELIGION;Heroic Religion;Religion Héroïque;Heroische Religion;Religión Heroica;;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;Religion héroïque dans le territoire d'accueil;Heroic Religion in Haushalt Territory;Religión Heroico en Inicio Territorio;;;;;;;;;;x
gaelic_pagan;Gaelic;Gaélique;Gaelic;Gaélico;;;;;;;;;;x
gaelic_pagan_reformed;Tuatha;Tuatha;Tuatha;Tuatha;;;;;;;;;;x
gaelic_pagan_DESC;Gaelic paganism is one of the last surviving branches of the ancient druidic belief systems. A pantheon of gods and a world full of spirits, the children of Dana rule the Skies, the Earth and the Otherworld. The main gods are Dana and Nuada, Angus, the god of Youth, Macha, the horse goddess, the great Daghda, Manannan mac Lir, the Sea God and Lugh of the Long Spear. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Low-tech non-pagans have very low Supply Limit in Pagan counties\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers lose Prestige if at peace for too long\n§Y*§! The Gaelic Pagan faith can be Reformed;Gaélique paganisme est l'une des dernières branches survivantes des anciens systèmes de croyances druidiques. Un panthéon de dieux et un monde rempli d'esprits, les enfants de Dana gouverner le Ciel, la Terre et l'au-delà. Les principaux dieux sont Dana et Nuada, Angus, le dieu de la jeunesse, Macha, la déesse de cheval, le grand Daghda, Manannân Mac Lir, le dieu de la mer et de la Lance de Lugh long. Caractéristiques en jeu la définition: \n§Y*§! Peut attaquer les voisins pour un butin \n§Y*§! Non-païens low-tech ont une très faible limite d'approvisionnement dans les comtés Pagan \n§Y*§! Peut déclarer Assujettissement guerres contre tous les autres païens \n§Y*§! Les règles sont limités à la succession Gavelkind \n§Y*§! Les règles ne peuvent pas déclarer Holy Wars \n§Y*§! Inférieur à la conversion et vulnérables aux missionnaires non-païens \n§Y*§! Rulers perdent Prestige si en paix depuis trop longtemps \n§Y*§! La foi païenne gaélique peut être réformé;Gaelic Heidentum ist eine der letzten überlebenden Zweige der alten druidic Glaubenssysteme. Ein Pantheon der Götter und eine Welt voller Geister, regieren die Kinder Dana den Himmel, die Erde und der Anderswelt. Die wichtigsten Götter sind Dana und Nuada, Angus, der Gott der Jugend, Macha, das Pferd Göttin, der große Daghda, Manannan mac Lir, das Meer und Gott Lugh des Long Spear. Definieren von Eigenschaften im Spiel: \n§Y*§! Kann Nachbarn Beute überfallen \n§Y*§! Low-Tech-nicht-Heiden haben eine sehr niedrige Versorgung Grenze in Pagan Kreise \n§Y*§! Kann Unterwerfung Kriege gegen alle anderen Heiden erklären \n§Y*§! Lineale sind Gavelkind Succession begrenzt \n§Y*§! Lineale kann nicht erklären, Holy Wars \n§Y*§! Minderwertige bei Umwandlung und anfällig für nicht-heidnische Missionare \n§Y*§! Lineale verlieren Prestige, wenn in Frieden zu lange \n§Y*§! Die gälische Pagan Glauben reformiert werden;Gaelic paganismo es una de las últimas ramas supervivientes de los antiguos sistemas de creencias druidas. Un panteón de dioses y un mundo lleno de espíritus, los hijos de Dana gobernar los cielos, la tierra y el otro mundo. Los principales dioses son Dana y Nuada, Angus, el dios de la Juventud, Macha, la diosa del caballo, el gran Daghda, Manannan mac Lir, el dios del mar y Lugh de la Lanza larga. Definición de las características del juego: §Y*§! Puede atacar a los vecinos por el botín §Y*§! De baja tecnología no-paganos tienen muy bajo límite de suministros en los condados Pagan §Y*§! Se puede declarar guerras Subyugación contra todas las demás paganos §Y*§! Los gobernantes se limitan a la sucesión Gavelkind §Y*§! Los gobernantes no pueden declarar guerras santas §Y*§! Inferior a la conversión y vulnerable a los misioneros no paganos §Y*§! Los gobernantes pierden Prestige si en paz por mucho tiempo §Y*§! La fe pagana gaélico se puede reformar;;;;;;;;;;x
gaelic_pagan_reformed_DESC;The reformed Gaelic faith has a standardized liturgy etched on the many raised stones on the British Isles, telling the story of the Tuatha De Danann. It is led by the High King, who is the leader of all gaelic tribes. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! The Ard Ri can call Great Holy Wars;Le gaélique foi réformée a une liturgie normalisé gravé sur les nombreuses pierres levées sur les îles britanniques, racontant l'histoire des Tuatha Dé Danann. Il est dirigé par le Haut Roi, qui est le chef de toutes les tribus gaéliques. Caractéristiques en jeu la définition: \n§Y*§! Peut attaquer les voisins pour un butin \n§Y*§! L'Ard Ri peut appeler la Grande Guerres Sainte;Die reformierte Gaelic Glauben hat eine standardisierte Liturgie auf den vielen hob Steine auf den britischen Inseln geätzt, erzählt die Geschichte der Tuatha De Danann. Es wird von der Hohe König, der die Führer aller Stämme ist gälisch geführt. Definieren von Eigenschaften im Spiel: \n§Y*§! Kann Nachbarn Beute überfallen \n§Y*§! Die Ard Ri rufen Großen Heiligen Kriege;El gaélico fe reformada tiene una liturgia estandarizada grabada en las muchas piedras levantadas en las Islas Británicas, que cuenta la historia de los Tuatha De Danann. Está dirigida por el Gran Rey, quien es el líder de todas las tribus gaélicas. Definición de las características del juego: \n§Y*§! Puede atacar a los vecinos por el botín \n§Y*§! El Ard Ri puede llamar Gran Guerra Santa;;;;;;;;;;x
GOD_ANGUS;Angus mac Og;Angus mac Og;Angus mac Og;Angus mac Og;;;;;;;;;;x
GOD_DAGHDA;The Daghda;le Daghda;Die Daghda;El Daghda;;;;;;;;;;x
GOD_MANANNAN;Manannan mac Lir;Manannan mac Lir;Manannan mac Lir;Manannan mac Lir;;;;;;;;;;x
GOD_LUGH;Lugh;Lugh;Lugh;Lugh;;;;;;;;;;x
GOD_MACHA;Macha;Macha;Macha;Macha;;;;;;;;;;x
