#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WAR_NAME_CLAIM;$ORDER$$FIRST_ADJ$ Claim on $OTHER_TITLE$ War;$ORDER$ Guerre de revendication de $FIRST$ pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Anspruch auf $OTHER_TITLE$ Krieg;;$ORDER$ Guerra $FIRST_ADJ$ por el $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_SENIORITY_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Seniority;$ORDER$ Guerre civile de $SECOND$ pour la Séniorité;$ORDER$$SECOND_ADJ$ Bürgerkrieg um Alter-Nachfolgegesetz;;$ORDER$ Guerra Civil $SECOND_ADJ$ por la Ley de Primogenitura;;;;;;;;;x
WAR_NAME_PRIOGENITURE_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Primogeniture;$ORDER$ Guerre civile de $SECOND$ pour la Primogéniture;$ORDER$$SECOND_ADJ$ Bürgerkrieg um Ältestenrecht;;$ORDER$Guerra civil $SECOND_ADJ$ por primogenitura;;;;;;;;;x
WAR_NAME_FEUDAL_ELECTIVE_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Elective Monarchy;$ORDER$ Guerre civile de $SECOND$ pour la Monarchie Élective;$ORDER$$SECOND_ADJ$ Bürgerkrieg um Wahlmonarchie;;$ORDER$ Guerra Civil $SECOND_ADJ$ por la Ley de Sucesión Electiva;;;;;;;;;x
WAR_NAME_RELIGIOUS;$ORDER$$FIRST_ADJ$ Holy War for $OTHER_TITLE$;$ORDER$ Guerre Sainte de $FIRST$ pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Heiliger Krieg um $OTHER_TITLE$;;$ORDER$ Guerra Santa $FIRST_ADJ$ por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_EXCOMMUNICATED_RULER;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Excommunication War;$ORDER$ Guerre d’excommunication de $FIRST$ contre $SECOND$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Exkommunizierungskrieg;;$ORDER$ Guerra $SECOND_ADJ$ por la Excomunión de $FIRST$;;;;;;;;;x
WAR_NAME_INDEPENDENCE;$ORDER$War of $FIRST_ADJ$ Independence;$ORDER$ Guerre d’indépendance de $FIRST$;$ORDER$ Krieg der $FIRST_ADJ$ Unabhängigkeit;;$ORDER$ Guerra $FIRST_ADJ$ de Independencia;;;;;;;;;x
WAR_NAME_SUCCESSION;$ORDER$$SECOND_ADJ$ Succession Crisis;$ORDER$ Guerre de Succession de $SECOND$;$ORDER$$SECOND_ADJ$ Nachfolgekrise;;$ORDER$ Guerra de Sucesión $SECOND_ADJ$;;;;;;;;;x
WAR_NAME_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ County War over $OTHER_TITLE$;$ORDER$ Guerre comtale de $FIRST$ contre $SECOND$ pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Grafenkrieg über $OTHER_TITLE$;;$ORDER$ Guerra Condal $FIRST_ADJ$-$SECOND_ADJ$ por $OTHER_TITLE$;;;;;;;;;x
#WAR_NAME_RELIGIOUS_ASSISTANCE;$ORDER$$FIRST_ADJ$ Religious Defence against $SECOND$;$ORDER$ Guerre religieuse défensive de $FIRST$ contre $SECOND$;$ORDER$$FIRST_ADJ$ Religiöse Verteidigung gegen $SECOND$;;$ORDER$$FIRST_ADJ$ Defensa religiosa contra $SECOND$;;;;;;;;;x
#WAR_NAME_CLAIM_ALL;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Claim War;$ORDER$ Guerre de revendication de $FIRST$ contre $SECOND$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Anspruchskrieg;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerra de reclamacion;;;;;;;;;x
WAR_NAME_GAVELKIND_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Gavelkind;$ORDER$ Guerre civile de $SECOND$ pour le Partage Salique;$ORDER$$SECOND_ADJ$ Bürgerkrieg um Gavelkind;;$ORDER$ Guerra Civil $SECOND_ADJ$ por la Sucesión a Partes Iguales;;;;;;;;;x
WAR_NAME_LOWER_CROWN_AUTHORITY_LAW;$ORDER$$SECOND_ADJ$ Civil War to lower Crown Authority;$ORDER$ Guerre civile de $SECOND$ visant à affaiblir l’autorité de la Couronne;$ORDER$$SECOND_ADJ$ Bürgerkrieg zur Reduzierung der Kronenautorität;;$ORDER$ Guerra Civil $SECOND_ADJ$ para Reducir la Autoridad Regia;;;;;;;;;x
DIPLOOPENING_OTHER;To the $ADJ$ $TO$,\n;À l’attention du(de la) $ADJ$ $TO$,\n;An den/die $ADJ$ $TO$,\n;;Al $ADJ$ $TO$,\n;;;;;;;;;x
DEJURE_LAW;§Y$TITLE_ADJ$ Crown Laws:§! ;Lois de la Couronne de §Y$TITLE$ :§! ;§Y$TITLE_ADJ$ Krongesetze:§! ;;Leyes de la Corona §Y$TITLE_ADJ$:§!;;;;;;;;;x
WAR_NAME_OTHER_CLAIM;$ORDER$$FIRST_ADJ$ War for $CLAIMANT$'s claim on $OTHER_TITLE$;$ORDER$ Guerre de $FIRST$ de $CLAIMANT$ pour revendiquer : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Krieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
