#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
IDLE;IDLE;§Gdisponible§!;;;;;;;;;;;;x
HAS;Has;A ;;;;;;;;;;;;x
Grand_duchy_of;Great Duchy of;Grand-Duché de;;;;;;;;;;;;x
Grand_duke;Grand Duke;Grand-Duc;;;;;;;;;;;;x
Grand_duke_female;Grand Duchess;Grande-Duchesse;;;;;;;;;;;;x
Grand_duke_foa;Your Highness;Votre Altesse;;;;;;;;;;;;x
d_antipape;Latran;Latran;;;;;;;;;;;;x
d_antipape_adj;antipapale;antipapale;;;;;;;;;;;;x
rhinokopia;Rhinokopia;Rhinokopia;;;;;;;;;;;;x
rhinokopia_desc;This character has undergone Rhinokopia a very old Byzantine punishment which is to decide the character's nose. This is particularly shameful mutilation.;Ce personnage a subi la Rhinokopia, un châtiment byzantin très ancien qui consiste à trancher le nez du personnage. Cette mutilation est particulièrement infamante.;;;;;;;;;;;;x
vassal_rhinokopia_decision;Slice the nose [Root.GetTitledFirstName];Trancher le nez de [Root.GetTitledFirstName];;;;;;;;;;;;x
vassal_rhinokopia_decision_desc;As your prisoner, you can give the Rhinokopia pronounce, and to settle the nose [Root.GetTitledFirstName]. It will be a free man, but with such a shameful mutilation, there will be no prestige or authority.;Comme il est votre prisonnier, vous pouvez donner prononcer la Rhinokopia, et de faire trancher le nez de [Root.GetTitledFirstName]. Il sera un homme libre, mais avec une telle mutilation infamante, il n'aura plus aucun prestige ni autorité.;;;;;;;;;;;;x
nick_rhinotmetos;the Rhinotmetus;le Rhinotmète;;;;;;;;;;;;x
opinion_rhinokopia_me;I cut off the nose;M'a tranché le nez;;;;;;;;;;;;x
opinion_rhinokopia_family;To cut off the nose of a loved one;A tranché le nez d'un proche;;;;;;;;;;;;x
