#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_englandnorman;England;;;;;;;;;;;;;x
k_englandnorman_adj;English;;;;;;;;;;;;;x
k_englandnorwegian;England;;;;;;;;;;;;;x
k_englandnorwegian_adj;English;;;;;;;;;;;;;x
abolish_witan_william;Declare yourself the sole King of England;;;;;;;;;;;;;x
abolish_witan_william_desc;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;;;;;;;;;;;;x
abolish_witan_hardrada;Declare yourself the sole King of England;;;;;;;;;;;;;x
abolish_witan_hardrada_desc;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;;;;;;;;;;;;x
EVTDESC90009011;The old Anglo-Saxon kingdom of England will now be forfeit…but do not despair! From its ashes a much more powerful and glorious realm will arise!;;;;;;;;;;;;;x
EVTOPTA90009011;England shall rule victorious!;;;;;;;;;;;;;x
