#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_ANOTHER_NEW_DAWN;TOG-Another New Dawn Lite;TOG-Another New Dawn Lite;TOG-Another New Dawn Lite;;TOG-Another New Dawn Lite;x
BM_ANOTHER_NEW_DAWN_DESC;$RDLC required: The Old Gods$\n(WIP) Another New Dawn Lite: Start with a completely blank startup (no religions, no cultures and a shattered world) and let history in all aspects be dynamically created by you and/or the AI.\n\n(This mod is a lite version of the mod Another New Dawn; it contains the same starting scenario, but lacks the dynamic duchies system);$RDLC required: The Old Gods$\nAnother New Dawn Lite: Start with a completely blank startup (no religions, no cultures and a shattered world) and let history in all aspects be dynamically created by you and/or the AI.\n\n(This mod is a lite version of the mod Another New Dawn; it contains the same starting scenario, but lacks the dynamic duchies system);$RDLC required: The Old Gods$\nAnother New Dawn Lite: Start with a completely blank startup (no religions, no cultures and a shattered world) and let history in all aspects be dynamically created by you and/or the AI.\n\n(This mod is a lite version of the mod Another New Dawn; it contains the same starting scenario, but lacks the dynamic duchies system);;$RDLC required: The Old Gods$\nAnother New Dawn Lite: Start with a completely blank startup (no religions, no cultures and a shattered world) and let history in all aspects be dynamically created by you and/or the AI.\n\n(This mod is a lite version of the mod Another New Dawn; it contains the same starting scenario, but lacks the dynamic duchies system);
BM_ANOTHER_NEW_DAWN2;SB-Another New Dawn Lite;SB-Another New Dawn Lite;SB-Another New Dawn Lite;;SB-Another New Dawn Lite;x
BM_ANOTHER_NEW_DAWN2_DESC;Another New Dawn Lite: Start with a completely blank startup (no religions, no cultures and a shattered world) and let history in all aspects be dynamically created by you and/or the AI.\n\n(This mod is a lite version of the mod Another New Dawn; it contains the same starting scenario, but lacks the dynamic duchies system);Another New Dawn Lite: Start with a completely blank startup (no religions, no cultures and a shattered world) and let history in all aspects be dynamically created by you and/or the AI.\n\n(This mod is a lite version of the mod Another New Dawn; it contains the same starting scenario, but lacks the dynamic duchies system);Another New Dawn Lite: Start with a completely blank startup (no religions, no cultures and a shattered world) and let history in all aspects be dynamically created by you and/or the AI.\n\n(This mod is a lite version of the mod Another New Dawn; it contains the same starting scenario, but lacks the dynamic duchies system);;Another New Dawn Lite: Start with a completely blank startup (no religions, no cultures and a shattered world) and let history in all aspects be dynamically created by you and/or the AI.\n\n(This mod is a lite version of the mod Another New Dawn; it contains the same starting scenario, but lacks the dynamic duchies system);
;;;;;;;x
d_europa;No lawful ruler set;No lawful ruler set;No lawful ruler set;;No lawful ruler set;;;;;;;;;x
d_europa_adj;European;European;European;;European;;;;;;;;;x
k_europa;No lawful ruler set;No lawful ruler set;No lawful ruler set;;No lawful ruler set;;;;;;;;;x
k_europa_adj;European;European;European;;European;;;;;;;;;x
;;;;;;;x
ancestry;Ancestral;Anciènnes;Ancestral;;Ancestral;;;;;;;;;x
ancestry_DESC;This 'religion' consists of the divination of ancestors. This primal belief system is the most basic religious system around and has limited probabilities. Over time, it will probably be replaced by a polytheistic, monotheistic or pantheistic faith over time...;This 'religion' consists of the divination of ancestors. This primal belief system is the most basic religious system around and has limited probabilities. Over time, it will probably be replaced by a polytheistic, monotheistic or pantheistic faith over time...;This 'religion' consists of the divination of ancestors. This primal belief system is the most basic religious system around and has limited probabilities. Over time, it will probably be replaced by a polytheistic, monotheistic or pantheistic faith over time...;;This 'religion' consists of the divination of ancestors. This primal belief system is the most basic religious system around and has limited probabilities. Over time, it will probably be replaced by a polytheistic, monotheistic or pantheistic faith over time...;x
tribal;Tribal;Tribal;Tribal;;Tribal;;;;;;;;;x
generic;Generic;Generic;Generic;;Generic;;;;;;;;;x
;;;;;;;x

