#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
prophet;Prophet;Prophet;Prophet;;Prophet;;;;;;;;;x
religious_joy;Religious joy;Religious joy;Religious joy;;Religious joy;;;;;;;;;x
norse_holy_region;The Holy region of the Norse faith;The Holy region of the Norse faith;The Holy region of the Norse faith;;The Holy region of the Norse faith;;;;;;;;;x
tengri_holy_region;The Holy region of the Tengri faith;The Holy region of the Tengri faith;The Holy region of the Tengri faith;;The Holy region of the Tengri faith;;;;;;;;;x
baltic_holy_region;The Holy region of the Romuvan faith;The Holy region of the Romuvan faith;The Holy region of the Romuvan faith;;The Holy region of the Romuvan faith;;;;;;;;;x
celtic_holy_region;The Holy region of the Celtic faith;The Holy region of the Celtic faith;The Holy region of the Celtic faith;;The Holy region of the Celtic faith;;;;;;;;;x
egyptian_holy_region;The Holy region of the Kemetic faith;The Holy region of the Kemetic faith;The Holy region of the Kemetic faith;;The Holy region of the Kemetic faith;;;;;;;;;x
slavic_holy_region;The Holy region of the Slavic faith;The Holy region of the Slavic faith;The Holy region of the Slavic faith;;The Holy region of the Slavic faith;;;;;;;;;x
finnish_holy_region;The Holy region of the Suomesko faith;The Holy region of the Suomesko faith;The Holy region of the Suomesko faith;;The Holy region of the Suomesko faith;;;;;;;;;x
aztec_holy_region;The Holy region of the Quetzalcoatlan faith;The Holy region of the Quetzalcoatlan faith;The Holy region of the Quetzalcoatlan faith;;The Holy region of the Quetzalcoatlan faith;;;;;;;;;x
west-african_holy_region;The Holy region of the Sahelian faith;The Holy region of the Sahelian faith;The Holy region of the Sahelian faith;;The Holy region of the Sahelian faith;;;;;;;;;x
hellenic_holy_region;The Holy region of the Hellenic faith;The Holy region of the Hellenic faith;The Holy region of the Hellenic faith;;The Holy region of the Hellenic faith;;;;;;;;;x
nivisal_holy_region;The Holy region of the Nivise faith;The Holy region of the Nivise faith;The Holy region of the Nivise faith;;The Holy region of the Nivise faith;;;;;;;;;x
djirafeic_holy_region;The Holy region of the Djirafen;The Holy region of the Djirafen;The Holy region of the Djirafen;;The Holy region of the Djirafen;;;;;;;;;x
derpic_holy_region;The Holy region dedicated to the worst ruler in history;The Holy region dedicated to the worst ruler in history;The Holy region dedicated to the worst ruler in history;;The Holy region dedicated to the worst ruler in history;;;;;;;;;x
malric_holy_region;The Holy region of Malric;The Holy region of Malric;The Holy region of Malric;;The Holy region of Malric;;;;;;;;;x
;;;;;;;;;x
misc_group;Generic;Generic;Generic;;Generic;;;;;;;;;x
folklore;Folklore;Folklore;Folklore;;Folklore;;;;;;;;;x
tribal;Tribal;Tribal;Tribal;;Tribal;;;;;;;;;x
;;;;;;;;;x
