#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
g_germanic;Germanic;;;;;;;;;;;;;x
germanic;Germanic;;;;;;;;;;;;;x
nordic;Nordic;;;;;;;;;;;;;x
g_italic;Italic;;;;;;;;;;;;;x
italic;Italic;;;;;;;;;;;;;x
iberian;Iberian;;;;;;;;;;;;;x
g_celtic;Celtic;;;;;;;;;;;;;x
celtic;Celtic;;;;;;;;;;;;;x
g_slavic;Slavic;;;;;;;;;;;;;x
slavic;Slavic;;;;;;;;;;;;;x
g_ugric;Ugric;;;;;;;;;;;;;x
ugric;Ugric;;;;;;;;;;;;;x
g_altaic;Altaic;;;;;;;;;;;;;x
altaic;Altaic;;;;;;;;;;;;;x
g_hellenic;Hellenic;;;;;;;;;;;;;x
hellenic;Hellenic;;;;;;;;;;;;;x
g_kartvelian;Kartvelian;;;;;;;;;;;;;x
kartvelian;Kartvelian;;;;;;;;;;;;;x
g_iranian;Iranian;;;;;;;;;;;;;x
iranian;Iranian;;;;;;;;;;;;;x
g_semitic;Semitic;;;;;;;;;;;;;x
semitic;Semitic;;;;;;;;;;;;;x
g_african;African;;;;;;;;;;;;;x
hamitic;Hamitic;;;;;;;;;;;;;x
g_germanic_creole;Germanic Creole;;;;;;;;;;;;;x
germano_slavic;Polabian;;;;;;;;;;;;;x
germano_nordic;Danish;;;;;;;;;;;;;x
germano_italic;Longobard;;;;;;;;;;;;;x
germano_celtic;Frankish;;;;;;;;;;;;;x
germano_hellenic;Ostrogoth;;;;;;;;;;;;;x
germano_iberian;Visigoth;;;;;;;;;;;;;x
germano_hamitic;Germano-Hamitic;;;;;;;;;;;;;x
germano_sahelian;Vandal;;;;;;;;;;;;;x
germano_semitic;Germano-Semitic;;;;;;;;;;;;;x
germano_iranian;Aryan;;;;;;;;;;;;;x
germano_baltic;Curlandian;;;;;;;;;;;;;x
germano_altaic;Hunnic;;;;;;;;;;;;;x
germano_ugric;Livonian;;;;;;;;;;;;;x
germano_kartvelian;Germano-Kartvelian;;;;;;;;;;;;;x
g_nordic_creole;Nordic Creole;;;;;;;;;;;;;x
nordic_slavic;Pommeranian;;;;;;;;;;;;;x
nordic_italic;Scandian;;;;;;;;;;;;;x
nordic_celtic;Faroese;;;;;;;;;;;;;x
nordic_hellenic;Hyperborean;;;;;;;;;;;;;x
nordic_iberian;Asturian;;;;;;;;;;;;;x
nordic_hamitic;Norse-Hamitic;;;;;;;;;;;;;x
nordic_sahelian;Norse-Sahelian;;;;;;;;;;;;;x
nordic_semitic;Norse-Semitic;;;;;;;;;;;;;x
nordic_iranian;Thulean;;;;;;;;;;;;;x
nordic_baltic;Lettigallish;;;;;;;;;;;;;x
nordic_altaic;Norse-Mongol;;;;;;;;;;;;;x
nordic_ugric;Saami;;;;;;;;;;;;;x
nordic_kartvelian;Norse-Kartvelian;;;;;;;;;;;;;x
g_italic_creole;Italic Creole;;;;;;;;;;;;;x
italic_slavic;Vlach;;;;;;;;;;;;;x
italic_celtic;Aquitanian;;;;;;;;;;;;;x
italic_hellenic;Byzantine;;;;;;;;;;;;;x
italic_iberian;Hispanic;;;;;;;;;;;;;x
italic_hamitic;Coptic;;;;;;;;;;;;;x
italic_sahelian;Romano-Sahelian;;;;;;;;;;;;;x
italic_semitic;Levantine;;;;;;;;;;;;;x
italic_iranian;Persian;;;;;;;;;;;;;x
