#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;x
EVTDESC1000189020;The people of [Root.GetName] demand more protection. What should we do?;The people of [Root.GetName] demand more protection. What should we do?;The people of [Root.GetName] demand more protection. What should we do?;;The people of [Root.GetName] demand more protection. What should we do?;;;;;;;;;x
EVTOPTA1000189020;Build a new castle;Build a new castle;Build a new castle;;Build a new castle;;;;;;;;;x
CONSTRUCTCASTLE;The people of [Root.GetName] start the construction of a new castle;The people of [Root.GetName] start the construction of a new castle;The people of [Root.GetName] start the construction of a new castle;;The people of [Root.GetName] start the construction of a new castle;;;;;;;;;x
EVTOPTB1000189020;(Not working - add_buildings);(Not working - add_buildings);(Not working - add_buildings);;(Not working - add_buildings);;;;;;;;;x
EVTOPTC1000189020;It's not a priority right now;It's not a priority right now;It's not a priority right now;;It's not a priority right now;;;;;;;;;x
EVTDESC1000189021;The marshal gives news that the new castle is finished.;The marshal gives news that the new castle is finished.;The marshal gives news that the new castle is finished.;;The marshal gives news that the new castle is finished.;;;;;;;;;x
EVTOPTA1000189021;Now the people are protected;Now the people are protected;Now the people are protected;;Now the people are protected;;;;;;;;;x
EVTDESC1000189040;The people of [Root.GetName] state they haven't enough room for all to pray. What should we do?;The people of [Root.GetName] state they haven't enough room for all to pray. What should we do?;The people of [Root.GetName] state they haven't enough room for all to pray. What should we do?;;The people of [Root.GetName] state they haven't enough room for all to pray. What should we do?;;;;;;;;;x
EVTOPTA1000189040;Build a new temple;Build a new temple;Build a new temple;;Build a new temple;;;;;;;;;x
CONSTRUCTTEMPLE;The people of [Root.GetName] start the construction of a new temple;The people of [Root.GetName] start the construction of a new temple;The people of [Root.GetName] start the construction of a new temple;;The people of [Root.GetName] start the construction of a new temple;;;;;;;;;x
EVTOPTB1000189040;It's not a priority right now;It's not a priority right now;It's not a priority right now;;It's not a priority right now;;;;;;;;;x
EVTDESC1000189041;The court chaplain gives news that the new temple is finished.;The court chaplain gives news that the new temple is finished.;The court chaplain gives news that the new temple is finished.;;The court chaplain gives news that the new temple is finished.;;;;;;;;;x
EVTOPTA1000189041;Now everybody should have a place to pray;Now everybody should have a place to pray;Now everybody should have a place to pray;;Now everybody should have a place to pray;;;;;;;;;x
EVTDESC1000189060;The province of [Root.GetName] is getting more and more traders these days. The traders even request support for the construction of a new city. What should we do?;The province of [Root.GetName] is getting more and more traders these days. The traders even request support for the construction of a new city. What should we do?;The province of [Root.GetName] is getting more and more traders these days. The traders even request support for the construction of a new city. What should we do?;;The province of [Root.GetName] is getting more and more traders these days. The traders even request support for the construction of a new city. What should we do?;;;;;;;;;x
EVTOPTA1000189060;Contribute to a new city;Contribute to a new city;Contribute to a new city;;Contribute to a new city;;;;;;;;;x
CONSTRUCTCITY;The people of [Root.GetName] start the construction of a new city;The people of [Root.GetName] start the construction of a new city;The people of [Root.GetName] start the construction of a new city;;The people of [Root.GetName] start the construction of a new city;;;;;;;;;x
EVTOPTB1000189060;It's not a priority right now;It's not a priority right now;It's not a priority right now;;It's not a priority right now;;;;;;;;;x
;;;;;;;;;;;;;;x
EVTDESC1000190001;Your [GetFromRelation] [From.GetTitledName] has been converted to [From.Religion.GetName];Your [GetFromRelation] [From.GetTitledName] has been converted to [From.Religion.GetName];Your [GetFromRelation] [From.GetTitledName] has been converted to [From.Religion.GetName];;Your [GetFromRelation] [From.GetTitledName] has been converted to [From.Religion.GetName];
EVTOPTA1000190001;The truth has been revealed!;The truth has been revealed!;The truth has been revealed!;;The truth has been revealed!;
EVTOPTB1000190001;How dare he turn on our ancestors!;How dare he turn on our ancestors!;How dare he turn on our ancestors!;;How dare he turn on our ancestors!;
EVTDESC1000190002;Your [GetFromRelation] [From.GetTitledName] has been converted to [From.Religion.GetName];Your [GetFromRelation] [From.GetTitledName] has been converted to [From.Religion.GetName];Your [GetFromRelation] [From.GetTitledName] has been converted to [From.Religion.GetName];;Your [GetFromRelation] [From.GetTitledName] has been converted to [From.Religion.GetName];
EVTOPTA1000190002;The truth has been revealed!;The truth has been revealed!;The truth has been revealed!;;The truth has been revealed!;
EVTOPTB1000190002;Lies... Get out of my lands!;Lies... Get out of my lands!;Lies... Get out of my lands!;;Lies... Get out of my lands!;
