#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
misc_group;Generic;Generic;Generic;;Generic;;;;;;;;;x
ancestry;Ancestor Worship;Ancestor Worship;Ancestor Worship;;Ancestor Worship;;;;;;;;x
ancestry_DESC;Early civilisations believed the dead would stay with them as divine beings to help them with their endeavours.;Early civilisations believed the dead would stay with them as divine beings to help them with their endeavours.;Early civilisations believed the dead would stay with them as divine beings to help them with their endeavours.;;Early civilisations believed the dead would stay with them as divine beings to help them with their endeavours.;;;;;;;x
overlord;Elder Worship;Elder Worship;Elder Worship;;Elder Worship;;;;;;;;x
overlord_DESC;An early civilisation sometimes believed an elder is the highest of the highest and is the Overlord of all that exists.;An early civilisation sometimes believed an elder is the highest of the highest and is the Overlord of all that exists.;An early civilisation sometimes believed an elder is the highest of the highest and is the Overlord of all that exists.;;An early civilisation sometimes believed an elder is the highest of the highest and is the Overlord of all that exists.;;;;;;;x
descendic;Descendant Worship;Descendant Worship;Descendant Worship;;Descendant Worship;;;;;;;;x
descendic_DESC;Everything that comes afterwards inherits everything from before. This principle is the essence of Descendant Worship. As the descendants inherit the divinity of all that came before of all the souls that came before, they are the sum of all parts.;Everything that comes afterwards inherits everything from before. This principle is the essence of Descendant Worship. As the descendants inherit the divinity of all that came before of all the souls that came before, they are the sum of all parts.;Everything that comes afterwards inherits everything from before. This principle is the essence of Descendant Worship. As the descendants inherit the divinity of all that came before of all the souls that came before, they are the sum of all parts.;;Everything that comes afterwards inherits everything from before. This principle is the essence of Descendant Worship. As the descendants inherit the divinity of all that came before of all the souls that came before, they are the sum of all parts.;;;;;;;x
ancient_ancestors;Founder Worship;Founder Worship;Founder Worship;;Founder Worship;;;;;;;;x
ancient_ancestors_DESC;Some civilisations worshipped the founder of the tribe as the divine shepherd. The founder was the source of all and everything that came after.;Some civilisations worshipped the founder of the tribe as the divine shepherd. The founder was the source of all and everything that came after.;Some civilisations worshipped the founder of the tribe as the divine shepherd. The founder was the source of all and everything that came after.;;Some civilisations worshipped the founder of the tribe as the divine shepherd. The founder was the source of all and everything that came after.;;;;;;;x
;;;;;;;;;x
astrolatry_group;Astrolatry;Astrolatry;Astrolatry;;Astrolatry;;;;;;;;;x
heliosism;Heliosist;Heliosist;Heliosist;;Heliosist;;;;;;;;;x
heliosism_DESC;Heliosism worships the Sun, the Giver of Life, as the supreme deity.;Heliosism worships the Sun, the Giver of Life, as the supreme deity.;Heliosism worships the Sun, the Giver of Life, as the supreme deity.;;Heliosism worships the Sun, the Giver of Life, as the supreme deity.;;;;;;;;;x
selenism;Selenist;Selenist;Selenist;;Selenist;;;;;;;;;x
selenism_DESC;This faith believes that the Moon is the greatest of all the gods, guarding the celestial mysteries.;This faith believes that the Moon is the greatest of all the gods, guarding the celestial mysteries.;This faith believes that the Moon is the greatest of all the gods, guarding the celestial mysteries.;;This faith believes that the Moon is the greatest of all the gods, guarding the celestial mysteries.;;;;;;;;;x
polarism;Polarist;Polarist;Polarist;;Polarist;;;;;;;;;x
polarism_DESC;Polarists seek guidance from the North Star, the only fixed point in the nocturnal sky.;Polarists seek guidance from the North Star, the only fixed point in the nocturnal sky.;Polarists seek guidance from the North Star, the only fixed point in the nocturnal sky.;;Polarists seek guidance from the North Star, the only fixed point in the nocturnal sky.;;;;;;;;;x
orionism;Orionist;Orionist;Orionist;;Orionist;;;;;;;;;x
orionism_DESC;Orionists pray to the great constellation of Orion, the Celestial Warrior.;Orionists pray to the great constellation of Orion, the Celestial Warrior.;Orionists pray to the great constellation of Orion, the Celestial Warrior.;;Orionists pray to the great constellation of Orion, the Celestial Warrior.;;;;;;;;;x
;;;;;;;;;x
