#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abbeville;Abbeville;Abbeville;Abbeville;;Abbeville;;;;;;;;;x
b_abbeycwmhir;Abbeycwmhir;Abbeycwmhir;Abbeycwmhir;;Abbeycwmhir;;;;;;;;;x
b_abbeydorney;Abbeydorney;Abbeydorney;Abbeydorney;;Abbeydorney;;;;;;;;;x
b_aberaeron;Aberaeron;Aberaeron;Aberaeron;;Aberaeron;;;;;;;;;x
b_abermagwr;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_aberystwyth;Aberystwyth;Aberystwyth;Aberystwyth;;Aberystwyth;;;;;;;;;x
b_achilleio;Achilleio;Achilleio;Achilleio;;Achilleio;;;;;;;;;x
b_agnam-goly;Agnam-Goly;Agnam-Goly;Agnam-Goly;;;;;;;;;;;x
b_agnam-goly_adj;Agnam-Goly;Agnam-Golyen;Agnam-Golisch;;;;;;;;;;;x
b_ailly;Ailly;Ailly;Ailly;;Ailly;;;;;;;;;x
b_ain_verba;Ain Verba;Ain Verba;Ain Verba;;;;;;;;;;;x
b_ain_verba_adj;Ain Verba;Ain Verbais;Ain Verbaisch;;;;;;;;;;;x
b_alassio;Alassio;Alassio;Alassio;;Alassio;;;;;;;;;x
b_alghero;Alghero;Alghero;Alghero;;Alghero;;;;;;;;;x
b_alighieri;Alighieri;Alighieri;Alighieri;;Alighieri;;;;;;;;;x
b_alliata;Alliata;Alliata;Alliata;;Alliata;;;;;;;;;x
b_alliata_adj;Alliatan;Alliatan;Alliatan;;Alliatan;;;;;;;;;x
b_alpunte;Alpunte;Alpunte;Alpunte;;Alpunte;;;;;;;;;x
b_al_ghaba;Al-Ghaba;Al-Ghaba;Al-Ghaba;;;;;;;;;;;x
b_al_ghaba_adj;Al-Ghaban;Al-Ghabani;Al-Ghabanisch;;;;;;;;;;;x
b_amalfi;Amalfi;Amalfi;Amalfi;;Amalfi;;;;;;;;;x
b_amalfito;di Amalfi;di Amalfi;di Amalfi;;di Amalfi;;;;;;;;;x
b_amalfito_adj;Amalfitane;Amalfitane;Amalfitane;;Amalfitane;;;;;;;;;x
